"","transit","driving","walking","bicycling"
"Colldejou",NA,11883,173694,47382
"Collsuspina",NA,7055,75963,22383
"Colomers",NA,9864,103937,32237
"Coma i la Pedra",NA,6844,65705,17981
"Conca de Dalt",NA,9246,106544,30189
"Conesa",NA,NA,NA,NA
"Constanti",NA,9973,152969,41754
"Copons",NA,7395,96986,28055
"Corbera d'Ebre",NA,12948.875,189984,53638
"Corbera de Llobregat",NA,8142,115582,30365
"Corbins",NA,9379,138510,38218
"Corca",NA,NA,NA,NA
"Cornella de Llobregat",NA,7923,121204,31571
"Cornella del Terri",NA,9102,90081,28506
"Cornudella de Montsant",NA,12059,159045,46290
"Creixell",NA,9452,144500,40190
"Crespia",NA,9314,86821,27258
"Cruilles, Monells i Sant Sadurni de l'Heura",NA,10335,109253,33669
"Cubelles",NA,8844,136379,40952
"Cubells",NA,8172,115608,32047
"Cunit",NA,8941,137156,39005
"Darnius",NA,10910.375,106879,32859
"Das",NA,NA,NA,NA
"Deltebre",NA,12584,207030,56759
"Dosrius",NA,8651,112400,34100
"Duesaigues",NA,11539,168910,46050
"Escala",NA,NA,NA,NA
"Esparreguera",NA,7054,100888,25878
"Espinelves",NA,6889,82183,26232
"Espluga Calba",NA,9471,129220,36332
"Espluga de Francoli",NA,9777,134913,37457
"Esplugues de Llobregat",NA,8019,121238,31404
"Espolla",NA,10849.75,108581,32733
"Esponella",NA,9546,85577,27289
"Espot",NA,NA,NA,NA
"Espunyola",NA,4534,47421,11341
"Esquirol",NA,9583.375,121745,46763
"Estamariu",NA,4367,50206,13928
"Estany",NA,6548,71345,21442
"Estaras",NA,7384,98246,27592
"Esterri d'Aneu",NA,8996,138238,33756
"Esterri de Cardos",NA,9183,103025,31848
"Falset",NA,11581,175640,48012
"Far d'Emporda",NA,10071.875,99571,30614
"Farrera",NA,8949,88089,26250
"Fatarella",NA,13069,185062,53487
"Febro",NA,NA,NA,NA
"Figaro-Montmany",NA,7355,93088,30299
"Figols",NA,4767.25,45962,9067
"Figols i Alinya",NA,6952,82645,21002
"Figuera",NA,13098,176421,50681
"Figueres",NA,9750,97057,29762
"Figuerola del Camp",NA,9843.75,132472,36286
"Flaca",NA,NA,NA,NA
"Flix",NA,NA,NA,NA
"Floresta",NA,NA,NA,NA
"Fogars de la Selva",NA,8687,113543,36946
"Fogars de Montclus",NA,8956,100123,33240
"Foixa",NA,9961,106484,33032
"Folgueroles",NA,6464,71638,22899
"Fondarella",NA,8660,126746,35129
"Fonollosa",NA,6058,80389,21622
"Fontanals de Cerdanya",NA,2860,21337,9418
"Fontanilles",NA,10757,115327,35269
"Fontcoberta",NA,9211,85940,26955
"Font-rubi",NA,7591,116725,31695
"Foradada",NA,NA,NA,NA
"Forallac",NA,10606,115399,35022
"Fores",NA,NA,NA,NA
"Fornells de la Selva",NA,8644,102912,33712
"Fortia",NA,10206.875,102599,31234
"Franqueses del Valles",NA,7706,100622,30154
"Freginals",NA,13025,216034,58430
"Fuliola",NA,8839,116122,32454
"Fulleda",NA,9864,132093,37000
"Gaia",NA,NA,NA,NA
"Galera",NA,NA,NA,NA
"Gallifa",NA,8264,93981,25856
"Gandesa",NA,13275.875,193171,54345
"Garcia",NA,NA,NA,NA
"Garidells",NA,10034,146754,39982
"Garriga",NA,NA,NA,NA
"Garrigas",NA,9879.25,97241,30127
"Garrigoles",NA,10126,105602,33102
"Garriguella",NA,10732.875,107401,32364
"Gava",NA,NA,NA,NA
"Gavet de la Conca",NA,9491,115077,32334
"Gelida",NA,7537,112316,29152
"Ger",NA,NA,NA,NA
"Gimenells i el Pla de la Font",NA,10381,158641,43837
"Ginestar",NA,12419,194077,54988
"Girona",NA,9069,100250,33296
"Gironella",NA,4414,48291.375,11913
"Gisclareny",NA,3999,7827,3735
"Godall",NA,13645,220958,59954
"Golmes",NA,8478,123490,34273
"Gombren",NA,5071,29358,9926
"Gosol",NA,4744,56722,10027
"Granada",NA,36336.75,668357,180571
"Granadella",NA,23861,419528,112562
"Granera",NA,7527,87026,22682
"Granja d'Escarp",NA,11068,167972,46285
"Granollers",NA,7938.875,103251,31078
"Granyanella",NA,7992,108146,30400
"Granyena de les Garrigues",NA,10350,148919,41767
"Granyena de Segarra",NA,8038,108401,30675
"Gratallops",NA,12229,174225,50306
"Gualba",NA,9429.75,107528,36388
"Gualta",NA,10521,113831,34806
"Guardiola de Bergueda",NA,2953,12284,5471
"Guiamets",NA,11882,182854,50018
"Guils de Cerdanya",NA,3598,26313,10909
"Guimera",NA,8696,116889,33364
"Guingueta d'Aneu",NA,8659,135497,33108
"Guissona",NA,7665,95142,26609
"Guixers",NA,6163,58640,15881
"Gurb",NA,6094,66112,21819
"Horta de Sant Joan",NA,14645.25,207786,58465
"Hospitalet de Llobregat",NA,8201,122138,32480
"Hostalets de Pierola",NA,7611,100616,28015
"Hostalric",NA,8407,109566,36497
"Igualada",NA,6988,99639,26355
"Isona i Conca Della",NA,8719,104243,28619
"Isovol",NA,2609,18828.875,8818
"Ivars d'Urgell",NA,8535,118050,32791
"Ivars de Noguera",NA,10110.625,143310,40936
"Ivorra",NA,7264,90498,24956
"Jafre",NA,9924,105466,32586
"Jonquera",NA,11113,115374,34744
"Jorba",NA,7056,NA,NA
"Josa i Tuixen",NA,5662,64243,13033
"Juia",NA,9475,100610,31158
"Juncosa",NA,11193,151731,42402
"Juneda",NA,9319,133240,36853
"Les",NA,NA,NA,NA
"Linyola",NA,8868,122829,34173
"Llacuna",NA,8174,115044,30477
"Llado",NA,9202,NA,27749
"Lladorre",NA,9077,103528,32162
"Lladurs",NA,6988,73968,19626
"Llagosta",NA,7523,107200,31658
"Llagostera",NA,8954.375,112958,36987
"Llambilles",NA,8780,105514,34707
"Llanars",NA,7538,56839,17052
"Llanca",NA,10924.875,112086,33752
"Llardecans",NA,10917,157849,44414
"Llavorsi",NA,7960,97696,30924
"Lleida",NA,9768,143513,39796
"Llers",NA,10014,98147,30021
"Lles de Cerdanya",NA,3803,25237,10430
"Llica d'Amunt",NA,8080,99762.25,29654.375
"Llica de Vall",NA,7831,102503,30498
"Llimiana",NA,10589,121704,34073
"Llinars del Valles",NA,8393,107627,32529
"Llivia",NA,3373,28470,11061
"Lloar",NA,12503,177367,51614
"Llobera",NA,6981,76626,20275
"Llorac",NA,8614,113690,32918
"Llorenc del Penedes",NA,9031.375,132387,36925
"Lloret de Mar",NA,9244,117906,37763
"Llosses",NA,6126,39184,14393
"Lluca",NA,5160,48708,15709
"Macanet de Cabrenys",NA,11519.5,104307,34247
"Macanet de la Selva",NA,8590,107097,34965
"Madremanya",NA,9857,105348,32277
"Maia de Montcal",NA,8896,83084,26024
"Maials",NA,10851,162118,45195
"Malda",NA,NA,6938619,NA
"Malgrat de Mar",NA,9764.75,120696,38830
"Malla",NA,129599,2184162,NA
"Manlleu",NA,6441,66166,22928
"Manresa",NA,NA,NA,NA
"Marca",NA,NA,NA,NA
"Margalef",NA,12261.5,163024,47074
"Marganell",NA,6413,88431,23614
"Martorell",NA,7100,106938,27273
"Martorelles",NA,7641,107022,31503
"Mas de Barberans",NA,13765,222858,61389
"Masarac",NA,10495.375,104738,31773
"Masdenverge",NA,13012,214658,58322
"Masies de Roda",NA,6516,68269,23958
"Masies de Voltrega",NA,6401,62065,21984
"Masllorenc",NA,9515,138143,38637
"Masnou",NA,8139,115850,34854
"Maso",NA,NA,NA,NA
"Maspujols",NA,10536,157649,43465
"Masquefa",NA,7778,105642,27994
"Masroig",NA,11919,183210,50192
"Massalcoreig",NA,10841,165624,46287
"Massanes",NA,8659,110267,35807
"Massoteres",NA,7686,93643,26174
"Matadepera",NA,8147,95457,25663
"Mataro",NA,8517,118631,37213
"Mediona",NA,7646,110376,29474
"Menarguens",NA,9510.625,133830,36933
"Meranges",NA,3340,24047,9914
"Mieres",NA,33594,624246,174239
"Mila",NA,NA,NA,NA
"Miralcamp",NA,8921,127805,35466
"Miravet",NA,12694,194926,55080
"Moia",NA,NA,NA,NA
"Molar",NA,NA,NA,NA
"Molins de Rei",NA,7653,115230,29862
"Mollerussa",NA,8846,125768,34896
"Mollet de Peralada",NA,10704.375,106492,32284
"Mollet del Valles",NA,7532,105612,30967
"Mollo",NA,NA,NA,NA
"Molsosa",NA,7263,83146,23430
"Monistrol de Calders",NA,6481,81465,21234
"Monistrol de Montserrat",NA,6208.375,91999,23713.75
"Montagut i Oix",NA,9018,73486,23526
"Montblanc",NA,NA,NA,NA
"Montbrio del Camp",NA,10727,162516,44566
"Montcada i Reixac",NA,7306,108888,31153
"Montclar",NA,25400,406989,115806
"Montella i Martinet",NA,3130,20943,9719
"Montesquiu",NA,6579,53924,19353
"Montferrer i Castellbo",NA,5897,70224,17605
"Montferri",NA,9435,138404,37745
"Montgai",NA,8838,117864,33476
"Montgat",NA,7799,117008,34384
"Montmajor",NA,5000,52765,13047
"Montmaneu",NA,7574,102520,28906
"Montmell",NA,9491,128845,36269
"Montmelo",NA,7770.625,106226.25,31623.875
"Montoliu de Lleida",NA,9678,148104,41159
"Montoliu de Segarra",NA,8321,111460,31364
"Montornes de Segarra",NA,8595,112555,32007
"Montornes del Valles",NA,7867,107666,31949
"Mont-ral",NA,11386,150073,41619
"Mont-ras",NA,10129,121428,36762
"Mont-roig del Camp",NA,10890,166782,45736
"Montseny",NA,8459,89605,28556
"Mora d'Ebre",NA,12240,190124,53693
"Mora la Nova",NA,12164,188544,53317
"Morell",NA,NA,NA,NA
"Morera de Montsant",NA,12658,164291,47606
"Muntanyola",NA,7072,71002,21914
"Mura",NA,NA,NA,NA
"Nalec",NA,8506,119411,32880
"Naut Aran",NA,12665,161908,39555
"Navarcles",NA,5968,77105,20178
"Navas",NA,NA,NA,NA
"Navata",NA,9339,89963,27841
"Naves",NA,18865,319201,98645
"Nou de Bergueda",NA,3804,34907,7266
"Nou de Gaia",NA,9573,147936,40711
"Nulles",NA,9668,141045,38734
"Oden",NA,NA,NA,NA
"Odena",NA,7264,98378,26079
"Ogassa",NA,6765,47735,15011
"Olerdola",NA,8296,122725,34133
"Olesa de Bonesvalls",NA,8424,123175,33275
"Olesa de Montserrat",NA,6717,99830,25428
"Oliana",NA,6177,89263,22750
"Oliola",NA,7635,101705,28288
"Olius",NA,6418,69522,18571
"Olivella",NA,NA,NA,NA
"Olost",NA,5243,56553,17231
"Olot",NA,8145.625,61803,20598
"Oluges",NA,7322,99365,27634
"Olvan",NA,4304,48100,12119
"Omellons",NA,9391,131601,36635
"Omells de na Gaia",NA,9372,126845,35522
"Ordis",NA,NA,NA,NA
"Organya",NA,5309,74920,18767
"Oris",NA,NA,NA,NA
"Orista",NA,5994,61806,18528
"Orpi",NA,34471,646006,207080
"Orrius",NA,8496,110731,33639
"Os de Balaguer",NA,9621,133969,38631
"Osor",NA,63217.625,943391,NA
"Osso de Sio",NA,7988,105111,29414
"Pacs del Penedes",NA,8285,121446,33609
"Palafolls",NA,9608.5,119199,38379
"Palafrugell",NA,10515,120848,36457
"Palamos",NA,10113,124156,41437
"Palau d'Anglesola",NA,8629,125614,34857
"Palau de Santa Eulalia",NA,10138.5,99035,30540
"Palau-sator",NA,10748,115760,35334
"Palau-saverdera",NA,11185.875,110170,33285
"Palau-solita i Plegamans",NA,7466,100207,29366
"Pallaresos",NA,10110,148127,40701
"Palleja",NA,7429,113815,29390
"Palma d'Ebre",NA,12450,167722,47912
"Palma de Cervello",NA,7879,117497,30713
"Palol de Revardit",NA,9085,90758,29102
"Pals",NA,NA,NA,NA
"Papiol",NA,7675.75,114731.5,29728.25
"Pardines",NA,6375.75,46557,14185.875
"Parets del Valles",NA,7466,104565,30929
"Parlava",NA,10046,109247,33523
"Passanant i Belltall",NA,9178,121621,34197
"Pau",NA,16351,227745,70844
"Pauls",NA,NA,NA,NA
"Pedret i Marza",NA,10563.875,104992,31858
"Penelles",NA,8870,118849,33996
"Pera",NA,NA,NA,NA
"Perafita",NA,42479,818579,224615
"Perafort",NA,10085,147690,40485
"Peralada",NA,10464,102224,31284
"Peramola",NA,6689,89830,23001
"Perello",NA,NA,NA,NA
"Piera",NA,7431,101877,28325
"Piles",NA,NA,NA,NA
"Pineda de Mar",NA,9492,124520.625,39817
"Pinell de Brai",NA,13347,197236,56166
"Pinell de Solsones",NA,7630,81539,22237
"Pinos",NA,NA,NA,NA
"Pira",NA,NA,NA,NA
"Pla de Santa Maria",NA,9842.75,132602,35956
"Pla del Penedes",NA,7732,116264,32037
"Planes d'Hostoles",NA,8078,77043,26146
"Planoles",NA,4908,39659,14330
"Plans de Sio",NA,7929,102560,28846
"Poal",NA,8918,126797,35037
"Pobla de Cervoles",NA,10741,144946,40230
"Pobla de Claramunt",NA,6782,101206,26755
"Pobla de Lillet",NA,3452,18539,6608
"Pobla de Mafumet",NA,10032,150519,41037
"Pobla de Massaluca",NA,13359,192789,53828
"Pobla de Montornes",NA,9429,146444,40801
"Pobla de Segur",NA,8504,110962,32109
"Poboleda",NA,12178,165434,48621
"Polinya",NA,7457,103734.875,29819.5
"Pont d'Armentera",NA,9263,127445,34584
"Pont de Bar",NA,3415,53463,11443
"Pont de Molins",NA,10184.75,101315,30896
"Pont de Suert",NA,11008,144977,40216
"Pont de Vilomara i Rocafort",NA,5951,80499,21339
"Pontils",NA,8467,117266,31825
"Pontons",NA,9178,120256,32869
"Pontos",NA,NA,NA,NA
"Ponts",NA,NA,NA,NA
"Porqueres",NA,9448,84879,27491
"Porrera",NA,11543,169099,47572
"Port de la Selva",NA,12075.875,121020,36404
"Portbou",NA,12193.875,124221,36718
"Portella",NA,NA,NA,NA
"Pradell de la Teixeta",NA,11257,174840,46365
"Prades",NA,6979,70884,25199
"Prat de Comte",NA,14045,204717,58196
"Prat de Llobregat",NA,8230,125957,32988
"Pratdip",NA,11364,174742,47648
"Prats de Llucanes",NA,4977,52673,15134
"Prats de Rei",NA,6831,91015,26375
"Prats i Sansor",NA,2352,16641,8474
"Preixana",NA,8379,118439,33004
"Preixens",NA,8588,111855,32146
"Premia de Dalt",NA,8219,116158,35644
"Premia de Mar",NA,8175,117306,35514
"Preses",NA,7438,64327,21743
"Prullans",NA,2798,17649,8477
"Puigcerda",NA,3046,24531,10198
"Puigdalber",NA,7574,117735,32000
"Puiggros",NA,9029,130261,36017
"Puigpelat",NA,9600,138426,37879
"Puig-reig",NA,4470,53029,13157
"Puigverd d'Agramunt",NA,8127,107903,30638
"Puigverd de Lleida",NA,9633,139220,38498
"Pujalt",NA,7228,94304,26403
"Quar",NA,NA,NA,NA
"Quart",NA,NA,NA,NA
"Queralbs",NA,6676,50655,15658
"Querol",NA,8630,121496,32568
"Rabos",NA,11668.5,111252,33550
"Rajadell",NA,6361,84882.75,23185
"Rasquera",NA,12703,198840,56008
"Regencos",NA,10618,121251,37457
"Rellinars",NA,6543,90470,23936
"Renau",NA,NA,NA,NA
"Reus",NA,10346,155593,42782
"Rialp",NA,7401,99592,28361
"Riba",NA,NA,NA,NA
"Riba-roja d'Ebre",NA,12200,176539,51008
"Ribera d'Ondara",NA,7763,107564,30590
"Ribera d'Urgellet",NA,6065,66307,16727
"Ribes de Freser",NA,5432,42609,13298
"Riells i Viabrea",NA,8697,109927,34847
"Riera de Gaia",NA,9406,149726,41528
"Riner",NA,NA,NA,NA
"Ripoll",NA,6068,39531,13041
"Ripollet",NA,7463.125,108701,30612
"Riu de Cerdanya",NA,1990,13487,6992
"Riudarenes",NA,8223,101946,33461
"Riudaura",NA,8234,60933,20738
"Riudecanyes",NA,11045,165730,45289
"Riudecols",NA,11103,163448,44899
"Riudellots de la Selva",NA,8416,103822,34439
"Riudoms",NA,10417,159047,43760
"Riumors",NA,10178.875,102762,31216
"Roca del Valles",NA,8155,106751,32303
"Rocafort de Queralt",NA,8786,120454,33387
"Roda de Bera",NA,9367,142426,40188
"Roda de Ter",NA,6527,68515,24082
"Rodonya",NA,9351,138703,38234
"Roquetes",NA,13005,212907,59634
"Roses",NA,NA,NA,NA
"Rossello",NA,9654,NA,NA
"Rourell",NA,10090,146621,39906
"Rubi",NA,NA,NA,NA
"Rubio",NA,NA,NA,NA
"Rupia",NA,NA,NA,NA
"Rupit i Pruit",NA,8396,81841,26539
"Sabadell",NA,NA,NA,NA
"Sagas",NA,NA,NA,NA
"Salas de Pallars",NA,8952,115094,33010
"Saldes",NA,4312,51292,8890
"Sales de Llierca",NA,8633,74883,24034
"Sallent",NA,5097,67359,17439
"Salomo",NA,NA,NA,NA
"Salou",NA,10298,162038,44627
"Salt",NA,NA,NA,NA
"Sanauja",NA,7682,91060,25614
"Sant Adria de Besos",NA,7731,115584,32805
"Sant Agusti de Llucanes",NA,5925,47170,16533
"Sant Andreu de la Barca",NA,7460,110624,28550
"Sant Andreu de Llavaneres",NA,8661,118801,38350
"Sant Andreu Salou",NA,8718,107173,34942
"Sant Aniol de Finestres",NA,9112,85587,28830
"Sant Antoni de Vilamajor",NA,8877.75,104760,32664
"Sant Bartomeu del Grau",NA,5846,58300,18752
"Sant Boi de Llobregat",NA,8057,120761,31469
"Sant Boi de Llucanes",NA,6247,52347,18265
"Sant Carles de la Rapita",NA,13342,219538,59797
"Sant Cebria de Vallalta",NA,9125,116873,38195
"Sant Celoni",NA,9545,110742,36142
"Sant Climent de Llobregat",NA,9085,125402,33051
"Sant Climent Sescebes",NA,10660.75,106300,32174
"Sant Cugat del Valles",NA,7095,111493,29811
"Sant Cugat Sesgarrigues",NA,8161,117964,32729
"Sant Esteve de la Sarga",NA,11433,135092,37575
"Sant Esteve de Palautordera",NA,8959,99658,32912
"Sant Esteve Sesrovires",NA,7328,106065,27135
"Sant Feliu de Buixalleu",NA,8289,105330,32899
"Sant Feliu de Codines",NA,7911,90832,25792
"Sant Feliu de Guixols",NA,9607,123418,39887
"Sant Feliu de Llobregat",NA,8090,119343,31087
"Sant Feliu de Pallerols",NA,7856,74099,24880
"Sant Feliu Sasserra",NA,5663.125,59193.125,17320
"Sant Ferriol",NA,9502,79069,25061
"Sant Fost de Campsentelles",NA,7708,107725,31477
"Sant Fruitos de Bages",NA,5404,74995,19583
"Sant Gregori",NA,8893,97367,32857
"Sant Guim de Freixenet",NA,7504,99960,28142
"Sant Guim de la Plana",NA,7528,94641,26091
