"","transit","driving","walking","bicycling"
"Abrera",NA,6820,102849,26127
"Ager",NA,NA,NA,NA
"Agramunt",NA,8346,108655,31180
"Aguilar de Segarra",NA,6288,87388,23835
"Agullana",NA,10580.5,110014,33178
"Aiguafreda",NA,7462,83452,25922
"Aiguamurcia",NA,9551.375,132316,36040
"Aiguaviva",NA,8330,99273,33240
"Aitona",NA,10487,158286,43880
"Alamus",NA,9158,135588,37552
"Alas i Cerc",NA,5516,63891,16155
"Albages",NA,10341,145391,40512
"Albanya",NA,11178,96341,32540
"Albatarrec",NA,9493,146354,40639
"Albesa",NA,9936,137605,38450
"Albi",NA,NA,NA,NA
"Albinyana",NA,9148,138055,38500
"Albiol",NA,NA,NA,NA
"Albons",NA,10271,109628,33734
"Alcanar",NA,13435,228629,61841
"Alcano",NA,NA,NA,NA
"Alcarras",NA,10027,150839,41676
"Alcoletge",NA,9287,137283,37809
"Alcover",NA,10132,144585,39595
"Aldea",NA,NA,NA,NA
"Aldover",NA,13315,214679,60951
"Aleixar",NA,10663,158023,43740
"Alella",NA,7871,114546,34903
"Alfara de Carles",NA,14141,222545,61997
"Alfarras",NA,10085,143076,40842
"Alfes",NA,NA,NA,NA
"Alforja",NA,11352,162709,44475
"Algerri",NA,9629,138414,39377
"Alguaire",NA,9720,145016.25,40131.375
"Alins",NA,8720,99394,30926
"Alio",NA,NA,NA,NA
"Almacelles",NA,10158,152366,42178
"Almatret",NA,11368,170434,48208
"Almenar",NA,10111,145951,40336
"Almoster",NA,10788,153126,41680
"Alos de Balaguer",NA,8974,118176,32658
"Alp",NA,NA,NA,NA
"Alpens",NA,6337,43129,15367
"Alpicat",NA,9831,147999,41109
"Alt Aneu",NA,9665,145140,35274
"Altafulla",NA,9391,148949,41316
"Amer",NA,NA,NA,NA
"Ametlla de Mar",NA,11521,188251,51817
"Ametlla del Valles",NA,7601,96237,28795
"Ampolla",NA,NA,NA,NA
"Amposta",NA,12538,211319,57397
"Angles",NA,NA,NA,NA
"Anglesola",NA,8030,113292,31584
"Arbeca",NA,9002,128051,35469
"Arboc",NA,NA,NA,NA
"Arboli",NA,11760,163027,45548
"Arbucies",NA,7646,98018,31054
"Arenys de Mar",NA,8899,119060,39042
"Arenys de Munt",NA,8892,114699,37506
"Argelaguer",NA,8385,73867,23669
"Argencola",NA,7790,106560,29983
"Argentera",NA,29658,461825,131305
"Argentona",NA,8340.25,115128,35186
"Armentera",NA,10246,107555,33044
"Arnes",NA,NA,NA,NA
"Arres",NA,13179.875,177013,48265.5
"Arseguel",NA,3689,55505,12227
"Artes",NA,NA,NA,NA
"Artesa de Lleida",NA,9672,140685,39144
"Artesa de Segre",NA,7874,110931,30535
"Asco",NA,NA,NA,NA
"Aspa",NA,NA,NA,NA
"Avellanes i Santa Linya",NA,10408,135783,38725
"Avia",NA,NA,NA,NA
"Avinyo",NA,5739,66931,18367
"Avinyonet de Puigventos",NA,9539,93997,28983
"Avinyonet del Penedes",NA,8337,119064,32957
"Badalona",NA,7867,116113,33307
"Badia del Valles",NA,7150,109386,29861
"Baga",NA,NA,NA,NA
"Baix Pallars",NA,8434,113443,31465
"Balaguer",NA,9113.875,127890.25,36602
"Balenya",NA,6999,77941,24358
"Balsareny",NA,4993,63202,16355
"Banyeres del Penedes",NA,8792,130216,36412
"Banyoles",NA,9454.875,86094,27410
"Barbens",NA,8399,116100,32320
"Barbera de la Conca",NA,9452,127840,35434
"Barbera del Valles",NA,7169,108672,30015
"Barcelona",NA,8018,119078,33263
"Baronia de Rialb",NA,7501,100184,27174
"Bascara",NA,9470,95135,30187
"Bassella",NA,6509,87589,23994
"Batea",NA,13948.875,199719,NA
"Bausen",NA,13281,170198,50350
"Begues",NA,9012,126226,32983
"Begur",NA,10630,122737,37755
"Belianes",NA,8773,123401,34128
"Bellaguarda",NA,NA,NA,NA
"Bellcaire d'Emporda",NA,10457,111329,34300
"Bellcaire d'Urgell",NA,8929,122197,34821
"Bell-lloc d'Urgell",NA,8914,132731,36843
"Bellmunt d'Urgell",NA,9051,118575,33702
"Bellmunt del Priorat",NA,11843,179839,49510
"Bellprat",NA,8149,113923,29909
"Bellpuig",NA,8233,118658,33081
"Bellvei",NA,8957,133392.25,37678
"Bellver de Cerdanya",NA,2462,14727,7756
"Bellvis",NA,9126,128962,35681
"Benavent de Segria",NA,9568,141948,39095
"Benifallet",NA,13078,202595,58285
"Benissanet",NA,12353,192636,54479
"Berga",NA,4125,40585,9709
"Besalu",NA,NA,NA,NA
"Bescano",NA,8892,95536,31810
"Beuda",NA,8961,80567,25546
"Bigues i Riells",NA,7947,95943,28201
"Biosca",NA,7382,88529,24572
"Bisbal d'Emporda",NA,10480,112133,34261
"Bisbal de Falset",NA,12378.625,164738,47115
"Bisbal del Penedes",NA,8803,136007,37945
"Biure",NA,10525.375,104069,31729
"Blancafort",NA,29063,527816,164590
"Blanes",NA,9577,119351,38569
"Boadella i les Escaules",NA,10756.375,103001,32037
"Bolvir",NA,2923,22548,9743
"Bonastre",NA,NA,NA,NA
"Bordes",NA,15910,NA,NA
"Bordils",NA,9433,101111,31241
"Borges Blanques",NA,9248,132077,36656
"Borges del Camp",NA,10516,159767,43830
"Borrassa",NA,9674,95196,29305
"Borreda",NA,5399.5,34244,12290
"Bossost",NA,12506,171680,48609
"Bot",NA,NA,NA,NA
"Botarell",NA,10749,163181,44722
"Bovera",NA,11605,163145,47091
"Brafim",NA,9375,137598,37381
"Breda",NA,48005,912747,284600
"Bruc",NA,6915,93819,25125
"Brull",NA,NA,NA,NA
"Brunyola i Sant Marti Sapresa",NA,8103,94913,31500
"Cabaces",NA,13317.5,172070,50014
"Cabanabona",NA,7841.375,98529,27785
"Cabanelles",NA,9076,87885,27206
"Cabanes",NA,15862,273489,73122
"Cabanyes",NA,8003,119214,32852
"Cabo",NA,NA,NA,NA
"Cabra del Camp",NA,9794,130063,36260
"Cabrera d'Anoia",NA,7569,107697,29186
"Cabrera de Mar",NA,8148,118166,36550
"Cabrils",NA,8395,114964,36317
"Cadaques",NA,12341.75,122102,37087
"Calaf",NA,6582,89661,25412
"Calafell",NA,9144,136702,38362
"Calders",NA,NA,NA,NA
"Caldes d'Estrac",NA,8639,120183,38859
"Caldes de Malavella",NA,8412,107600,36060
"Caldes de Montbui",NA,8011.375,96027,28080
"Calella",NA,9228,122125,40262
"Calldetenes",NA,6491,70940,22831
"Callus",NA,NA,NA,NA
"Calonge de Segarra",NA,6788.25,89260.125,25022.875
"Calonge i Sant Antoni",NA,9852,120263,41370
"Camarasa",NA,NA,NA,NA
"Camarles",NA,12277,203471,55620.625
"Cambrils",NA,10645,164383,45809
"Camos",NA,NA,NA,NA
"Campdevanol",NA,5545,35683,11833
"Campelles",NA,5994,44259,14030
"Campins",NA,NA,102994,34460
"Campllong",NA,8534,106168,35342
"Camprodon",NA,7477,55415,16796
"Canejan",NA,18473,312841,102433
"Canet d'Adri",NA,9278,92591,32249
"Canet de Mar",NA,8685,118863,39874
"Canonja",NA,10273,157793,43377
"Canovelles",NA,7614,102105,30687
"Canoves i Samalus",NA,8605,102065,31460
"Cantallops",NA,10896.5,111395,33340
"Canyelles",NA,8337,126713,35306
"Capafonts",NA,11990.625,153675,44473
"Capcanes",NA,11790,180898,49647.375
"Capellades",NA,6984,103785,27471
"Capmany",NA,10779.375,106533,32419
"Capolat",NA,5154,49418,11278
"Cardedeu",NA,8274.25,104740,31628
"Cardona",NA,NA,NA,NA
"Carme",NA,7267,105304,27773
"Caseres",NA,14072.875,205893,59178
"Cassa de la Selva",NA,8873,108545,35470
"Casserres",NA,4413,49928,12668
"Castell de l'Areny",NA,4973,30809,11874
"Castell de Mur",NA,10943,127131,35454
"Castellar de la Ribera",NA,7081,79208,21703
"Castellar de n'Hug",NA,4582,26049,8380
"Castellar del Riu",NA,4762,46529,11081
"Castellar del Valles",NA,7691,100132,26769
"Castellbell i el Vilar",NA,6107,89037,23275
"Castellbisbal",NA,7206,109199.5,27806
"Castellcir",NA,7385,82568,23298
"Castelldans",NA,9814,138900,38345
"Castelldefels",NA,8518,128223,33437
"Castellet i la Gornal",NA,8739,130831,36574
"Castellfollit de la Roca",NA,8087,66727,21298
"Castellfollit de Riubregos",NA,6974,87590,24775
"Castellfollit del Boix",NA,6421,90716,24000
"Castellgali",NA,5967,83093,21959
"Castellnou de Bages",NA,6047,68715,18053
"Castellnou de Seana",NA,8330,120105,33390
"Castello d'Empuries",NA,10648.875,104698,31935
"Castello de Farfanya",NA,9403.75,132737,37840
"Castelloli",NA,6677,96016,25526
"Castell-Platja d'Aro",NA,9665,124425,39922
"Castellsera",NA,8769,117580,33055
"Castelltercol",NA,7060,82713,22744
"Castellvell del Camp",NA,11181.125,154553,42236
"Castellvi de la Marca",NA,8670,127386,35092
"Castellvi de Rosanes",NA,8042,111566,28654
"Catllar",NA,7037,72553,25631
"Cava",NA,NA,NA,NA
"Cellera de Ter",NA,8389,87454,29403
"Celra",NA,9182,98563,30650
"Centelles",NA,6768,79400,25239
"Cercs",NA,3621,39395,8099
"Cerdanyola del Valles",NA,7409,110133,31006
"Cervello",NA,NA,NA,NA
"Cervera",NA,7313,102820,28674.875
"Cervia de les Garrigues",NA,10280,141967,39537
"Cervia de Ter",NA,9410,98489,30805
"Cistella",NA,10157,96185,29655
"Ciutadilla",NA,8508,118603,32748
"Clariana de Cardener",NA,6193,67360,18207
"Cogul",NA,10417,144978,40668
"Colera",NA,11832.875,118075,35545
"Coll de Nargo",NA,5588,78488,19764
"Collbato",NA,7054,97706,25397
