"","transit","driving","walking","bicycling"
"Arenys de Mar",NA,8912,119754.25,39780
"Arenys de Munt",NA,8893,115575,38244
"Argelaguer",NA,8385,74742,24407
"Argencola",NA,7791,107436,30722
"Argentera",NA,29659,459591,129847
"Argentona",NA,8341.25,116004,35925
"Armentera",NA,10247,108431,33782
"Arnes",NA,NA,NA,NA
"Arres",NA,13158.625,174938.5,46953
"Arseguel",NA,3689,53270,10768
"Artes",NA,NA,NA,NA
"Artesa de Lleida",NA,9672,141560,39882
"Artesa de Segre",NA,7874,111806,29453
"Asco",NA,NA,NA,NA
"Aspa",NA,NA,NA,NA
"Avellanes i Santa Linya",NA,10408,136659,37644
"Avia",NA,NA,NA,NA
"Avinyo",NA,5740,67807,19105
"Avinyonet de Puigventos",NA,9540,94872,29721
"Avinyonet del Penedes",NA,8338,119939,33695
"Badalona",NA,7867,116989,34045
"Badia del Valles",NA,7151,110261,30600
"Baga",NA,NA,NA,NA
"Baix Pallars",NA,8435,111208,30006
"Balaguer",NA,9114.75,128765.375,34906
"Balenya",NA,7000,78817,25096
"Balsareny",NA,4993,64077,17093
"Banyeres del Penedes",NA,8793,131092,37151
"Banyoles",NA,9455.875,86969,28148
"Barbens",NA,8400,116975,33058
"Barbera de la Conca",NA,9453,128716,36172
"Barbera del Valles",NA,7170,109548,30753
"Barcelona",NA,8019,119953,34001
"Baronia de Rialb",NA,7501,97949,25716
"Bascara",NA,9470,96010,30926
"Bassella",NA,6509,88464,22536
"Batea",NA,13949.875,200595,57447
"Bausen",NA,13282,167964,48892
"Begues",NA,9004,127102,33721
"Begur",NA,10631,123612,38493
"Belianes",NA,8774,124277,34866
"Bellaguarda",NA,NA,NA,NA
"Bellcaire d'Emporda",NA,10458,112204,35038
"Bellcaire d'Urgell",NA,8930,123073,33648
"Bell-lloc d'Urgell",NA,8914,133607,37581
"Bellmunt d'Urgell",NA,9051,119450,32740
"Bellmunt del Priorat",NA,11843,180714,50248
"Bellprat",NA,8149,114799,30647
"Bellpuig",NA,8233,119534,33820
"Bellvei",NA,8952.125,134268.25,38416
"Bellver de Cerdanya",NA,2463,12493,6298
"Bellvis",NA,9127,129838,36419
"Benavent de Segria",NA,9569,142824,38949
"Benifallet",NA,13078,203471,59023
"Benissanet",NA,12354,193511,55217
"Berga",NA,4125,41461,10447
"Besalu",NA,NA,NA,NA
"Bescano",NA,8893,96412,32548
"Beuda",NA,8962,81442,26284
"Bigues i Riells",NA,7947,96818,28939
"Biosca",NA,7382,89404,25310
"Bisbal d'Emporda",NA,10481,113009,35000
"Bisbal de Falset",NA,12379.5,165613,47853
"Bisbal del Penedes",NA,8803,136882,38684
"Biure",NA,10526.375,104944,32467
"Blancafort",NA,29071.875,525581,163131
"Blanes",NA,9578,120226,39307
"Boadella i les Escaules",NA,10757.375,103877,32775
"Bolvir",NA,2923,20314,8285
"Bonastre",NA,NA,NA,NA
"Bordes",NA,15910,221177,69126
"Bordils",NA,9434,101986,31979
"Borges Blanques",NA,9249,132953,37394
"Borges del Camp",NA,10517,160642,44568
"Borrassa",NA,9675,96071,30044
"Borreda",NA,5346.25,35209.75,13029
"Bossost",NA,12506,169445,47151
"Bot",NA,NA,NA,NA
"Botarell",NA,10750,164056,45460
"Bovera",NA,11606,164020,47829
"Brafim",NA,9376,138473,38120
"Breda",NA,48006,910513,283142
"Bruc",NA,6916,94695,25863
"Brull",NA,NA,NA,NA
"Brunyola i Sant Marti Sapresa",NA,8103,95789,32238
"Cabaces",NA,13318.5,172946,50752
"Cabanabona",NA,7842.375,99405,27659
"Cabanelles",NA,9076,88760,27944
"Cabanes",NA,15863,274364,73860
"Cabanyes",NA,8004,120089,33590
"Cabo",NA,NA,NA,NA
"Cabra del Camp",NA,9795,130938,36999
"Cabrera d'Anoia",NA,7570,108572,29924
"Cabrera de Mar",NA,8149,119041,37289
"Cabrils",NA,8395,115840,37055
"Cadaques",NA,12341.75,122977,37825
"Calaf",NA,6583,90536,26150
"Calafell",NA,9145,137577,39100
"Calders",NA,NA,NA,NA
"Caldes d'Estrac",NA,8640,121058,39597
"Caldes de Malavella",NA,8413,108475,36801.375
"Caldes de Montbui",NA,8011.5,96903,28818
"Calella",NA,9229,123000,41001
"Calldetenes",NA,6492,71816,23569
"Callus",NA,NA,NA,NA
"Calonge de Segarra",NA,6763,90330,25789
"Calonge i Sant Antoni",NA,9853,121139,42108
"Camarasa",NA,NA,NA,NA
"Camarles",NA,12293,204346,56350
"Cambrils",NA,10645,165259,46548
"Camos",NA,NA,NA,NA
"Campdevanol",NA,5546,36558,12572
"Campelles",NA,5995,42025,14768
"Campins",NA,NA,NA,35198
"Campllong",NA,8534,107043,36080
"Camprodon",NA,7477,56291,17534
"Canejan",NA,18474,310607,100975
"Canet d'Adri",NA,9278,93467,32987
"Canet de Mar",NA,8686,119738,40612
"Canonja",NA,10274,158669,44115
"Canovelles",NA,7615,102980,31426
"Canoves i Samalus",NA,8606,102940,32198
"Cantallops",NA,10897.5,112270,34078
"Canyelles",NA,8337,127588,36044
"Capafonts",NA,11990.75,154551,45211
"Capcanes",NA,11790,181774,50382
"Capellades",NA,6984,104660,28210
"Capmany",NA,10780.375,107409,33157
"Capolat",NA,5155,50294,12017
"Cardedeu",NA,8275.125,105615,32366
"Cardona",NA,NA,NA,NA
"Carme",NA,7268,106180,28511
"Caseres",NA,14072.875,206769,59916
"Cassa de la Selva",NA,8874,109420,36208
"Casserres",NA,4414,50804,13406
"Castell de l'Areny",NA,4974,31685,12613
"Castell de Mur",NA,10943,124897,33996
"Castellar de la Ribera",NA,7081,80084,22441
"Castellar de n'Hug",NA,4583,26925,9118
"Castellar del Riu",NA,4762,47405,11819
"Castellar del Valles",NA,7691,101007,27507
"Castellbell i el Vilar",NA,6108,89912,24013
"Castellbisbal",NA,7206,109838.25,28544
"Castellcir",NA,7385,83444,24036
"Castelldans",NA,9814,139775,39083
"Castelldefels",NA,8519,129099,34176
"Castellet i la Gornal",NA,8740,131707,37312
"Castellfollit de la Roca",NA,8088,67603,22036
"Castellfollit de Riubregos",NA,6975,88466,25513
"Castellfollit del Boix",NA,6422,91591,24738
"Castellgali",NA,5967,83968,22697
"Castellnou de Bages",NA,6047,69591,18791
"Castellnou de Seana",NA,8330,120981,34128
"Castello d'Empuries",NA,10649,105574,32674
"Castello de Farfanya",NA,9404.75,133613,36144
"Castelloli",NA,6678,96892,26264
"Castell-Platja d'Aro",NA,9666,125300,40660
"Castellsera",NA,8770,118456,33793
"Castelltercol",NA,7061,83588,23482
"Castellvell del Camp",NA,11181.25,155429,42974
"Castellvi de la Marca",NA,8671,128262,35831
"Castellvi de Rosanes",NA,8043,112321.75,29383
"Catllar",NA,7038,70318,24172
"Cava",NA,NA,NA,NA
"Cellera de Ter",NA,8389,88330,30141
"Celra",NA,9182,99438,31388
"Centelles",NA,6769,80275,25977
"Cercs",NA,3621,40270,8837
"Cerdanyola del Valles",NA,7410,111009,31744
"Cervello",NA,NA,NA,NA
"Cervera",NA,7314,NA,29385
"Cervia de les Garrigues",NA,10280,142842,40276
"Cervia de Ter",NA,9411,99364,31543
"Cistella",NA,10158,97060,30393
"Ciutadilla",NA,8509,119479,33487
"Clariana de Cardener",NA,6193,68235,18945
"Cogul",NA,10418,145853,41406
"Colera",NA,11833.875,118951,36283
"Coll de Nargo",NA,5588,76253,18305
"Collbato",NA,7055,98582,26135
"Colldejou",NA,11884,174569,48120
"Collsuspina",NA,7055,76838,23121
"Colomers",NA,9865,104813,32975
"Coma i la Pedra",NA,6845,66581,18719
"Conca de Dalt",NA,9247,104310,28731
"Conesa",NA,8719,NA,NA
"Constanti",NA,9973,153845,42492
"Copons",NA,7396,97861,28793
"Corbera d'Ebre",NA,12949.875,190859,54376
"Corbera de Llobregat",NA,8143,116458,31103
"Corbins",NA,9380,139386,38072
"Corca",NA,NA,NA,NA
"Cornella de Llobregat",NA,7924,122080,32309
"Cornella del Terri",NA,9103,90956,29244
"Cornudella de Montsant",NA,12060,159921,47029
"Creixell",NA,9453,145376,40928
"Crespia",NA,9315,87696,27997
"Cruilles, Monells i Sant Sadurni de l'Heura",NA,10336,110128,34407
"Cubelles",NA,8845,137254,41691
"Cubells",NA,8172,116483,30966
"Cunit",NA,8942,138031,39743
"Darnius",NA,10910.75,107755,33597
"Das",NA,NA,NA,NA
"Deltebre",NA,12585,207906,57497
"Dosrius",NA,8675,113275,34838
"Duesaigues",NA,11540,169785,46788
"Escala",NA,NA,NA,NA
"Esparreguera",NA,7055,101764,26616
"Espinelves",NA,6890,83059,26971
"Espluga Calba",NA,9472,130095,37070
"Espluga de Francoli",NA,9777,135788,38195
"Esplugues de Llobregat",NA,8019.125,122113,32143
"Espolla",NA,10850.375,109456,33471
"Esponella",NA,9546,86452,28027
"Espot",NA,NA,NA,NA
"Espunyola",NA,4534,48297,12080
"Esquirol",NA,10530.125,139306.75,42768.25
"Estamariu",NA,4367,47972,12469
"Estany",NA,6548,72221,22180
"Estaras",NA,7384,99122,28330
"Esterri d'Aneu",NA,8997,136003,32298
"Esterri de Cardos",NA,9183,100791,30390
"Falset",NA,11582,176516,48751
"Far d'Emporda",NA,10072.875,100447,31352
"Farrera",NA,8949,85855,24792
"Fatarella",NA,13070,185938,54225
"Febro",NA,NA,NA,NA
"Figaro-Montmany",NA,7356,93963,31037
"Figols",NA,4767.25,46838,9805
"Figols i Alinya",NA,6953,80410,19544
"Figuera",NA,13098,177297,51420
"Figueres",NA,9750,97933,30500
"Figuerola del Camp",NA,9844.75,133348,37024
"Flaca",NA,NA,NA,NA
"Flix",NA,NA,NA,NA
"Floresta",NA,NA,NA,NA
"Fogars de la Selva",NA,8687,114419,37685
"Fogars de Montclus",NA,8957,100999,33978
"Foixa",NA,9962,107359,33770
"Folgueroles",NA,6465,72513,23637
"Fondarella",NA,8661,127621,35868
"Fonollosa",NA,6059,81264,22361
"Fontanals de Cerdanya",NA,2860,19103,7960
"Fontanilles",NA,10758,116203,36007
"Fontcoberta",NA,9212,86816,27693
"Font-rubi",NA,7592,117600,32433
"Foradada",NA,NA,NA,NA
"Forallac",NA,10607,116275,35760
"Fores",NA,NA,NA,NA
"Fornells de la Selva",NA,8644,103788,34450
"Fortia",NA,10207,103475,31973
"Franqueses del Valles",NA,7706,101497,30893
"Freginals",NA,13026,216910,59168
"Fuliola",NA,8840,116997,33192
"Fulleda",NA,9865,132969,37738
"Gaia",NA,NA,NA,NA
"Galera",NA,NA,NA,NA
"Gallifa",NA,8264,94857,26595
"Gandesa",NA,13276.875,194047,55083
"Garcia",NA,NA,NA,NA
"Garidells",NA,10035,147629,40720
"Garriga",NA,NA,NA,NA
"Garrigas",NA,9879.375,98117,30866
"Garrigoles",NA,10126,106477,33841
"Garriguella",NA,10733.875,108277,33102
"Gava",NA,NA,NA,NA
"Gavet de la Conca",NA,9491,112842,30875
"Gelida",NA,7538,113192,29890
"Ger",NA,NA,NA,NA
"Gimenells i el Pla de la Font",NA,10382,159517,43091
"Ginestar",NA,12419,194952,55726
"Girona",NA,9070,101125,34034
"Gironella",NA,4415,49239,12651
"Gisclareny",NA,3999,8874,4577
"Godall",NA,13645,221834,60692
"Golmes",NA,8479,124365,35011
"Gombren",NA,5072,30233,10665
"Gosol",NA,4745,57597,10766
"Granada",NA,36336.875,669232,181309
"Granadella",NA,23861,420404,113300
"Granera",NA,7527,87901,23420
"Granja d'Escarp",NA,11069,168847,47023
"Granollers",NA,7939.875,104127,31817
"Granyanella",NA,7993,109022,31139
"Granyena de les Garrigues",NA,10351,149794,42505
"Granyena de Segarra",NA,8039,109276,31413
"Gratallops",NA,12230,175100,51044
"Gualba",NA,9430.625,108404,37126
"Gualta",NA,10522,114706,35544
"Guardiola de Bergueda",NA,2953,13160,6209
"Guiamets",NA,11882,183729,50756
"Guils de Cerdanya",NA,3599,24079,9451
"Guimera",NA,8696,117764,34102
"Guingueta d'Aneu",NA,8660,133263,31650
"Guissona",NA,7666,96017,27348
"Guixers",NA,6164,59516,16620
"Gurb",NA,6095,66988,22558
"Horta de Sant Joan",NA,14646.25,208662,59203
"Hospitalet de Llobregat",NA,8201,123013,33218
"Hostalets de Pierola",NA,7612,101491,28754
"Hostalric",NA,8408,110442,37235
"Igualada",NA,6986.75,100514,27093
"Isona i Conca Della",NA,8720,102009,27161
"Isovol",NA,2609,16826,7360
"Ivars d'Urgell",NA,8536,118926,33530
"Ivars de Noguera",NA,10111.625,144185,39240
"Ivorra",NA,7264,91374,25694
"Jafre",NA,9925,106342,33324
"Jonquera",NA,11114,115025,37312
"Jorba",NA,NA,102810,NA
"Josa i Tuixen",NA,5663,65119,13771
"Juia",NA,9475,101485,31897
"Juncosa",NA,11194,152606,43140
"Juneda",NA,9320,134115,37591
"Les",NA,NA,NA,NA
"Linyola",NA,8869,123705,34911
"Llacuna",NA,8175,115920,31215
"Llado",NA,9203,NA,28487
"Lladorre",NA,9078,101293,30703
"Lladurs",NA,6989,74843,20364
"Llagosta",NA,7524,108076,32396
"Llagostera",NA,8955,113834,37724.625
"Llambilles",NA,8780,106389,35445
"Llanars",NA,7539,57714,17790
"Llanca",NA,10924.875,112961,34490
"Llardecans",NA,10918,158725,45152
"Llavorsi",NA,7961,95461,29466
"Lleida",NA,9769,144389,40534
"Llers",NA,10014,99022,30760
"Lles de Cerdanya",NA,3804,23003,8971
"Llica d'Amunt",NA,8081,100638.125,30369
"Llica de Vall",NA,7832,103436.625,31227
"Llimiana",NA,10590,119470,32614
"Llinars del Valles",NA,8393,108502,33267
"Llivia",NA,3374,26235,9602
"Lloar",NA,12504,178243,52352
"Llobera",NA,6981,77502,21013
"Llorac",NA,8615,114565,33656
"Llorenc del Penedes",NA,9032.375,133263,37663
"Lloret de Mar",NA,9245,118782,38501
"Llosses",NA,6126,40060,15132
"Lluca",NA,5161,49583,16447
"Macanet de Cabrenys",NA,11520.5,105182,34985
"Macanet de la Selva",NA,8591,107972,35703
"Madremanya",NA,9857,106224,33016
"Maia de Montcal",NA,8897,83960,26763
"Maials",NA,10851,162994,45934
"Malda",NA,NA,6936384,NA
"Malgrat de Mar",NA,9764.75,121572,39568
"Malla",NA,129599,2181927,NA
"Manlleu",NA,6442,67042,23666
"Manresa",NA,NA,NA,NA
"Marca",NA,NA,NA,NA
"Margalef",NA,12262.5,163900,47812
"Marganell",NA,6414,89306,24352
"Martorell",NA,7101,107813,28011
"Martorelles",NA,7642,107897,32241
"Mas de Barberans",NA,13766,223734,62127
"Masarac",NA,10496.375,105613,32512
"Masdenverge",NA,13013,215534,59061
"Masies de Roda",NA,6517,69144,24696
"Masies de Voltrega",NA,6401,62941,22722
"Masllorenc",NA,9516,139019,39376
"Masnou",NA,8140,116725,35592
"Maso",NA,NA,NA,NA
"Maspujols",NA,10537,158524,44203
"Masquefa",NA,7779,106517,28733
"Masroig",NA,11920,184086,50930
"Massalcoreig",NA,10842,166499,47025
"Massanes",NA,8660,111142,36545
"Massoteres",NA,7686,94518,26912
"Matadepera",NA,8148,96332,26401
"Mataro",NA,8517,119507,37952
"Mediona",NA,7647,111252,30212
"Menarguens",NA,9511.625,134706,36526
"Meranges",NA,3341,21813,8456
"Mieres",NA,33594,625121,174318
"Mila",NA,NA,NA,NA
"Miralcamp",NA,8922,128681,36205
"Miravet",NA,12694,195802,55819
"Moia",NA,NA,NA,NA
"Molar",NA,NA,NA,NA
"Molins de Rei",NA,7654,116105,30600
"Mollerussa",NA,8846,126644,35634
"Mollet de Peralada",NA,10704.375,107368,33022
"Mollet del Valles",NA,7533,106487,31705
"Mollo",NA,NA,NA,NA
"Molsosa",NA,7263,84021,24169
"Monistrol de Calders",NA,6482,82341,21972
"Monistrol de Montserrat",NA,6186.25,92961.5,24474
"Montagut i Oix",NA,9019,74361,24264
"Montblanc",NA,NA,NA,NA
"Montbrio del Camp",NA,10728,163392,45304
"Montcada i Reixac",NA,7306,109763,31891
"Montclar",NA,25401,404754,114348
"Montella i Martinet",NA,3131,18708,8261
"Montesquiu",NA,6579,54800,20091
"Montferrer i Castellbo",NA,5898,67989,16146
"Montferri",NA,9436,139280,38483
"Montgai",NA,8839,118739,32148
"Montgat",NA,7800,117883,35122
"Montmajor",NA,5001,53640,13785
"Montmaneu",NA,7575,103396,29644
"Montmell",NA,9492,129721,37007
"Montmelo",NA,7779,107106,32375
"Montoliu de Lleida",NA,9679,148980,41897
"Montoliu de Segarra",NA,8322,112336,32102
"Montornes de Segarra",NA,8596,113431,32745
"Montornes del Valles",NA,7867,108541,32687
"Mont-ral",NA,11386,150949,42357
"Mont-ras",NA,10130,122303,37500
"Mont-roig del Camp",NA,10891,167657,46475
"Montseny",NA,8459,90481,29294
"Mora d'Ebre",NA,12240,191000,54431
"Mora la Nova",NA,12165,189419,54056
"Morell",NA,NA,NA,NA
"Morera de Montsant",NA,12659,165166,48344
"Muntanyola",NA,7073,71878,22652
"Mura",NA,NA,NA,NA
"Nalec",NA,8507,120287,33619
"Naut Aran",NA,12666,159673,38097
"Navarcles",NA,5969,77980,20916
"Navas",NA,NA,NA,NA
"Navata",NA,9340,90839,28580
"Naves",NA,18865,316967,97187
"Nou de Bergueda",NA,3805,35783,8005
"Nou de Gaia",NA,9574,148812,41450
"Nulles",NA,9669,141921,39472
"Oden",NA,NA,NA,NA
"Odena",NA,7265,99253,26817
"Ogassa",NA,6765,48610,15749
"Olerdola",NA,8296,123600,34871
"Olesa de Bonesvalls",NA,8424,124051,34013
"Olesa de Montserrat",NA,6717,100706,26166
"Oliana",NA,6177,87029,21292
"Oliola",NA,7636,102581,27728
"Olius",NA,6418,70397,19309
"Olivella",NA,NA,NA,NA
"Olost",NA,5243,57428,17969
"Olot",NA,8146.25,62679,21337
"Oluges",NA,7322,100240,28372
"Olvan",NA,4305,48976,12858
"Omellons",NA,9392,132476,37373
"Omells de na Gaia",NA,9373,127721,36261
"Ordis",NA,NA,NA,NA
"Organya",NA,5309,72685,17309
"Oris",NA,NA,NA,NA
"Orista",NA,5994,62681,19266
"Orpi",NA,34488.25,643771,205622
"Orrius",NA,8497,111606,34377
"Os de Balaguer",NA,9622,134844,37153
"Osor",NA,63218.5,941157,NA
"Osso de Sio",NA,7989,105987,30152
"Pacs del Penedes",NA,8276.125,122322,34327.75
"Palafolls",NA,9608.5,120075,39117
"Palafrugell",NA,10516,121724,37195
"Palamos",NA,10114,125031,42176
"Palau d'Anglesola",NA,8630,126489,35595
"Palau de Santa Eulalia",NA,10139,99910,31278
"Palau-sator",NA,10749,116635,36072
"Palau-saverdera",NA,11186,111046,34024
"Palau-solita i Plegamans",NA,7466,101082,30104
"Pallaresos",NA,10110,149002,41439
"Palleja",NA,7429,114691,30129
"Palma d'Ebre",NA,12450,168598,48650
"Palma de Cervello",NA,7880,118373,31451
"Palol de Revardit",NA,9086,91633,29841
"Pals",NA,NA,NA,NA
"Papiol",NA,7676.75,115611.375,30478
"Pardines",NA,6131,47113.875,14807
"Parets del Valles",NA,7467,105441,31667
"Parlava",NA,10047,110123,34261
"Passanant i Belltall",NA,9179,122497,34936
"Pau",NA,16351,225510,69385
"Pauls",NA,NA,NA,NA
"Pedret i Marza",NA,10564.875,105867,32596
"Penelles",NA,8871,119724,33144
"Pera",NA,NA,NA,NA
"Perafita",NA,42479,819454,224694
"Perafort",NA,10086,148565,41223
"Peralada",NA,10464.875,103099,32022
"Peramola",NA,6690,87595,21543
"Perello",NA,NA,NA,NA
"Piera",NA,7432,102753,29063
"Piles",NA,NA,NA,NA
"Pineda de Mar",NA,9493,125462,40555
"Pinell de Brai",NA,13348,198112,56905
"Pinell de Solsones",NA,7631,82415,22975
"Pinos",NA,NA,NA,NA
"Pira",NA,NA,NA,NA
"Pla de Santa Maria",NA,9843.75,133478,36694
"Pla del Penedes",NA,7733,117140,32776
"Planes d'Hostoles",NA,8079,77919,26884
"Planoles",NA,4908,37425,15068
"Plans de Sio",NA,7930,103436,29584
"Poal",NA,8918,127673,35776
"Pobla de Cervoles",NA,10742,145821,40969
"Pobla de Claramunt",NA,6783,102081,27493
"Pobla de Lillet",NA,3452,19414,7346
"Pobla de Mafumet",NA,10033,151395,41776
"Pobla de Massaluca",NA,13360,193664,54566
"Pobla de Montornes",NA,9430,147320,41539
"Pobla de Segur",NA,8505,108727,30650
"Poboleda",NA,12179,166309,49359
"Polinya",NA,7458,104602,30558.375
"Pont d'Armentera",NA,9263,128321,35322
"Pont de Bar",NA,3416,51229,9985
"Pont de Molins",NA,10185.375,102191,31635
"Pont de Suert",NA,11009,142742,38757
"Pont de Vilomara i Rocafort",NA,5951,81375,22077
"Pontils",NA,8468,118141,32563
"Pontons",NA,9178,121131,33607
"Pontos",NA,NA,NA,NA
"Ponts",NA,NA,NA,NA
"Porqueres",NA,9449,85754,28229
"Porrera",NA,11543,169974,48310
"Port de la Selva",NA,12076.875,121896,37142
"Portbou",NA,12194.875,125096,37456
"Portella",NA,NA,NA,NA
"Pradell de la Teixeta",NA,11258,175715,47103
"Prades",NA,6980,68650,23741
"Prat de Comte",NA,14046,205593,58935
"Prat de Llobregat",NA,8231,126832,33726
"Pratdip",NA,11364,175618,48387
"Prats de Llucanes",NA,4977,53548,15872
"Prats de Rei",NA,6832,91890,27113
"Prats i Sansor",NA,2353,14407,7016
"Preixana",NA,8380,119314,33742
"Preixens",NA,8588,112731,32884
"Premia de Dalt",NA,8220,117034,36382
"Premia de Mar",NA,8175,118181,36253
"Preses",NA,7438,65202,22481
"Prullans",NA,2798,15415,7018
"Puigcerda",NA,3047,22296,8740
"Puigdalber",NA,7574,118611,32738
"Puiggros",NA,9029,131137,36755
"Puigpelat",NA,9601,139302,38618
"Puig-reig",NA,4470,53904,13895
"Puigverd d'Agramunt",NA,8127,108779,31377
"Puigverd de Lleida",NA,9634,140096,39236
"Pujalt",NA,7229,95180,27142
"Quar",NA,NA,NA,NA
"Quart",NA,NA,NA,NA
"Queralbs",NA,6677,50911,16396
"Querol",NA,8630,122371,33306
"Rabos",NA,11669.5,112128,34288
"Rajadell",NA,6362,85878,23923
"Rasquera",NA,12704,199715,56746
"Regencos",NA,10618,122126,38195
"Rellinars",NA,6544,91346,24674
"Renau",NA,NA,NA,NA
"Reus",NA,10347,156468,43520
"Rialp",NA,7402,97357,26903
"Riba",NA,NA,NA,NA
"Riba-roja d'Ebre",NA,12200,177415,51789.125
"Ribera d'Ondara",NA,7763,108440,31328
"Ribera d'Urgellet",NA,6066,64073,15268
"Ribes de Freser",NA,5432,43340,14036
"Riells i Viabrea",NA,8698,110803,35585
"Riera de Gaia",NA,9407,150602,42266
"Riner",NA,NA,NA,NA
"Ripoll",NA,6069,40406,13779
"Ripollet",NA,7462,109576,31350
"Riu de Cerdanya",NA,1991,11253,5534
"Riudarenes",NA,8224,102822,34199
"Riudaura",NA,8235,61809,21476
"Riudecanyes",NA,11046,166605,46027
"Riudecols",NA,11104,164323,45637
"Riudellots de la Selva",NA,8416,104698,35177
"Riudoms",NA,10418,159923,44498
"Riumors",NA,10178.875,103638,31954
"Roca del Valles",NA,8155,107626,33042
"Rocafort de Queralt",NA,8787,121329,34125
"Roda de Bera",NA,9368,143301,40926
"Roda de Ter",NA,6528,69391,24820
"Rodonya",NA,9352,139578,38972
"Roquetes",NA,13006,213782,60372
"Roses",NA,NA,NA,NA
"Rossello",NA,NA,145630,39639
"Rourell",NA,10091,147497,40645
"Rubi",NA,NA,NA,NA
"Rubio",NA,NA,NA,NA
"Rupia",NA,NA,NA,NA
"Rupit i Pruit",NA,8396,82716,27277
"Sabadell",NA,NA,NA,NA
"Sagas",NA,NA,NA,NA
"Salas de Pallars",NA,8952,112859,31552
"Saldes",NA,4301.625,52116.5,9610.875
"Sales de Llierca",NA,8634,75759,24772
"Sallent",NA,5098,68234,18177
"Salomo",NA,NA,NA,NA
"Salou",NA,10299,162914,45365
"Salt",NA,NA,NA,NA
"Sanauja",NA,7683,91935,26352
"Sant Adria de Besos",NA,7732,116460,33544
"Sant Agusti de Llucanes",NA,5926,48046,17271
"Sant Andreu de la Barca",NA,7461,111500,29288
"Sant Andreu de Llavaneres",NA,8661,119677,39089
"Sant Andreu Salou",NA,8719,108049,35680
"Sant Aniol de Finestres",NA,9113,86463,29568
"Sant Antoni de Vilamajor",NA,8878,105635,33402
"Sant Bartomeu del Grau",NA,5846,59176,19490
"Sant Boi de Llobregat",NA,8058,121636,32207
"Sant Boi de Llucanes",NA,6248,53223,19003
"Sant Carles de la Rapita",NA,13342,220414,60535
"Sant Cebria de Vallalta",NA,9125,117748,38933
"Sant Celoni",NA,9546,111618,36880
"Sant Climent de Llobregat",NA,9076.875,126277,33731.25
"Sant Climent Sescebes",NA,10661.375,107175,32912
"Sant Cugat del Valles",NA,7096,112368,30549
"Sant Cugat Sesgarrigues",NA,8161,118839,33467
"Sant Esteve de la Sarga",NA,11433,132858,36117
"Sant Esteve de Palautordera",NA,8960,100534,33651
"Sant Esteve Sesrovires",NA,7329,106940,27873
"Sant Feliu de Buixalleu",NA,8290,106206,33637
"Sant Feliu de Codines",NA,7911,91707,26530
"Sant Feliu de Guixols",NA,9607,124293,40625
"Sant Feliu de Llobregat",NA,8090,120218,31825
"Sant Feliu de Pallerols",NA,7856,74974,25618
"Sant Feliu Sasserra",NA,5664,60069,18058
"Sant Ferriol",NA,9503,79944,25799
"Sant Fost de Campsentelles",NA,7709,108601,32215
"Sant Fruitos de Bages",NA,5405,75871,20322
"Sant Gregori",NA,8894,98243,33595
"Sant Guim de Freixenet",NA,7505,100836,28880
"Sant Guim de la Plana",NA,7529,95516,26829
"Sant Hilari Sacalm",NA,7507,92702,29976
