"","transit","driving","walking","bicycling"
"Abrera",NA,6821,103725,26865
"Ager",NA,NA,NA,NA
"Agramunt",NA,8346,109530,31918
"Aguilar de Segarra",NA,6289,88263,24573
"Agullana",NA,10580.5,110890,33916
"Aiguafreda",NA,7463,84328,26660
"Aiguamurcia",NA,9552.375,133192,36778
"Aiguaviva",NA,8331,100149,33978
"Aitona",NA,10488,159161,44618
"Alamus",NA,9159,136463,38290
"Alas i Cerc",NA,5516,61656,14697
"Albages",NA,10341,146266,41250
"Albanya",NA,11178,97216,33278
"Albatarrec",NA,9494,147230,41377
"Albesa",NA,9937,138480,37591
"Albi",NA,NA,NA,NA
"Albinyana",NA,9148,138930,39238
"Albiol",NA,NA,NA,NA
"Albons",NA,10272,110504,34472
"Alcanar",NA,13436,229505.125,62580
"Alcano",NA,NA,NA,NA
"Alcarras",NA,10028,151714,42414
"Alcoletge",NA,9287,138159,38518.5
"Alcover",NA,10133,145460,40333
"Aldea",NA,NA,NA,NA
"Aldover",NA,13315,215555,61689
"Aleixar",NA,10664,158898,44479
"Alella",NA,7871,115421,35642
"Alfara de Carles",NA,14142,223421,62735
"Alfarras",NA,10086,143951,39146
"Alfes",NA,NA,NA,NA
"Alforja",NA,11353,163585,45213
"Algerri",NA,9629,139289,37681
"Alguaire",NA,9721,146187,39563
"Alins",NA,8721,97160,29467
"Alio",NA,NA,NA,NA
"Almacelles",NA,10159,153242,41529
"Almatret",NA,11369,171309,48946
"Almenar",NA,10112,146826,39687
"Almoster",NA,10789,154002,42435
"Alos de Balaguer",NA,8974,119052,31577
"Alp",NA,NA,NA,NA
"Alpens",NA,6338,44004,16105
"Alpicat",NA,9832,148874,41847
"Alt Aneu",NA,9665,142906,33816
"Altafulla",NA,9392,149824,42055
"Amer",NA,NA,NA,NA
"Ametlla de Mar",NA,11522,189126,52555
"Ametlla del Valles",NA,7602,97113,29533
"Ampolla",NA,NA,NA,NA
"Amposta",NA,12539,212195,58135
"Angles",NA,NA,NA,NA
"Anglesola",NA,8031,114168,32323
"Arbeca",NA,9003,128927,36207
"Arboc",NA,NA,NA,NA
"Arboli",NA,11761,163903,46286
"Arbucies",NA,7646,98893,31792
