"","transit","driving","walking","bicycling"
"Sant Hilari Sacalm",NA,7268,91124,29107
"Sant Hipolit de Voltrega",NA,6178,60907,21652
"Sant Iscle de Vallalta",NA,8956,113416,37218
"Sant Jaume d'Enveja",NA,12637,208220,57293
"Sant Jaume de Frontanya",NA,4382,26839,9467
"Sant Jaume de Llierca",NA,8203,70727,22752
"Sant Jaume dels Domenys",NA,8734,129806,36243
"Sant Joan de les Abadesses",NA,6283,44666,14455
"Sant Joan de Mollet",NA,9322,102046,31509
"Sant Joan de Vilatorrada",NA,5404,77787,20951
"Sant Joan Despi",NA,7685.125,119231,31151
"Sant Joan les Fonts",NA,7593,63436,20417
"Sant Jordi Desvalls",NA,9412,100468,31349
"Sant Julia de Cerdanyola",NA,3665,16722,6552
"Sant Julia de Ramis",NA,9102,96900,30255
"Sant Julia de Vilatorta",NA,6174,71303,22864
"Sant Julia del Llor i Bonmati",NA,8445,88478,30011
"Sant Just Desvern",NA,7611.125,119170,30958
"Sant Llorenc d'Hortons",NA,7495,107839,29067
"Sant Llorenc de la Muga",NA,10369,100597,31295
"Sant Llorenc de Morunys",NA,6165,60859,16468
"Sant Llorenc Savall",NA,7409,90419,23807
"Sant Marti d'Albars",NA,4992,51148,16519
"Sant Marti de Centelles",NA,6791,83580,26929
"Sant Marti de Llemena",NA,8974,87127,29389
"Sant Marti de Riucorb",NA,8307,119031,33297
"Sant Marti de Tous",NA,7437,107888,28384
"Sant Marti Sarroca",NA,8038,121549,33446
"Sant Marti Sesgueioles",NA,6639,92104,26284
"Sant Marti Vell",NA,9386,101393,31690
"Sant Mateu de Bages",NA,6983,78109,21617
"Sant Miquel de Campmajor",NA,9311,79152,26328
"Sant Miquel de Fluvia",NA,9784,99918,30960
"Sant Mori",NA,9613,100367,31370
"Sant Pau de Seguries",NA,6798,50417,15723
"Sant Pere de Ribes",NA,8375,130820,38520.375
"Sant Pere de Riudebitlles",NA,7133.625,110648.75,30347
"Sant Pere de Torello",NA,6594,65044,22116
"Sant Pere de Vilamajor",NA,9166.5,101939,33296
"Sant Pere Pescador",NA,10143.5,105436,31939
"Sant Pere Sallavinera",NA,6472,84211,24062
"Sant Pol de Mar",NA,8559,118166,38657
"Sant Quinti de Mediona",NA,7457,112181,30286
"Sant Quirze de Besora",NA,6431,54114,19274
"Sant Quirze del Valles",NA,6580,104774,28461
"Sant Quirze Safaja",NA,7291,86097,24827
"Sant Ramon",NA,6732,94466,26085
"Sant Sadurni d'Anoia",NA,7689,109484,30415
"Sant Sadurni d'Osormort",NA,6960,78062,25204
"Sant Salvador de Guardiola",NA,5764,83407,21998
"Sant Vicenc de Castellet",NA,5868,83036,22189
"Sant Vicenc de Montalt",NA,8529,119795,38544.5
"Sant Vicenc de Torello",NA,6883.25,63351,21546
"Sant Vicenc dels Horts",NA,7504,116322,30126
"Santa Barbara",NA,NA,NA,NA
"Santa Cecilia de Voltrega",NA,6078,61142,21809
"Santa Coloma de Cervello",NA,7685,117757,30677
"Santa Coloma de Farners",NA,7692,96935,32226
"Santa Coloma de Gramenet",NA,7325,112666,32119
"Santa Coloma de Queralt",NA,7868,111179,30499
"Santa Cristina d'Aro",NA,9202,118129,38243
"Santa Eugenia de Berga",NA,6476,70224,22699
"Santa Eulalia de Riuprimer",NA,6395,66807,20902
"Santa Eulalia de Roncana",NA,7641,98032,29193
"Santa Fe del Penedes",NA,7599,116172,32319
"Santa Llogaia d'Alguema",NA,9552.875,95813,29584
"Santa Margarida de Montbui",NA,6646,101428,27016
"Santa Margarida i els Monjos",NA,8087,123617,34685
"Santa Maria d'Olo",NA,5732,70078,20029
"Santa Maria de Besora",NA,6862,54020,17526
"Santa Maria de Martorelles",NA,7725,108147,31574
"Santa Maria de Merles",NA,4745,52888,14552
"Santa Maria de Miralles",NA,7478,110143,29306
"Santa Maria de Palautordera",NA,8562,100548,33125
"Santa Oliva",NA,8950,133863,37562
"Santa Pau",NA,8254,67967,22482
"Santa Perpetua de Mogoda",NA,7194,104148,30517
"Santa Susanna",NA,9309,121329,39112
"Santpedor",NA,5376,72535,19282
"Sarral",NA,8753,123624,34261
"Sarria de Ter",NA,8386,96958,30182
"Sarroca de Bellera",NA,9183,121419,33700
"Sarroca de Lleida",NA,9983,153231,42708
"Saus, Camallera i Llampaies",NA,9506,99152,31583
"Savalla del Comtat",NA,8495,114720,32079
"Secuita",NA,9672,144392,39613
"Selva de Mar",NA,11660,117905,35551
"Selva del Camp",NA,10470,150548,41240
"Senan",NA,NA,NA,NA
"Senia",NA,NA,NA,NA
"Senterada",NA,8741,116569,32734
"Sentiu de Sio",NA,8436,122207,35044
"Sentmenat",NA,7763,98064.25,27958
"Serinya",NA,8854,82304,26182
"Seros",NA,NA,NA,NA
"Serra de Daro",NA,10013,111259,34175
"Setcases",NA,7919,62035,18048
"Seu d'Urgell",NA,3878,57300,13650
"Seva",NA,NA,NA,NA
"Sidamon",NA,8568,128671,35674
"Sils",NA,NA,NA,NA
"Sitges",NA,8683,132686,37964
"Siurana",NA,12591,157608,45711
"Sobremunt",NA,6194,52842,18483
"Soleras",NA,43161.625,840247,NA
"Solivella",NA,8828,127765,35994
"Solsona",NA,6421,70583,18874
"Sora",NA,NA,NA,NA
"Soriguera",NA,6483,87791,23264
"Sort",NA,NA,NA,NA
"Soses",NA,9946,153912,42626
"Subirats",NA,7865,115748,31783
"Sudanell",NA,9595,148751,41450
"Sunyer",NA,9767,148679,41385
"Suria",NA,5652,70257,NA
"Susqueda",NA,9187,92098,30325
"Tagamanent",NA,7539,89438,29152
"Talamanca",NA,NA,NA,NA
"Talarn",NA,9005,117614,32553
"Talavera",NA,NA,NA,NA
"Tallada d'Emporda",NA,9957,107983,34085
"Taradell",NA,6309,72528,23087
"Tarragona",NA,9682,153116,42557
"Tarrega",NA,7625,110062,30788
"Tarres",NA,9804,135631,37962
"Tarroja de Segarra",NA,7162,98424,27366
"Tavernoles",NA,6191,70365,23298
"Tavertet",NA,8073,81241,27477
"Teia",NA,NA,NA,NA
"Termens",NA,9213.375,131006,36231
"Terrades",NA,10203,97972,30174
"Terrassa",NA,6499,100977,26656
"Tiana",NA,NA,NA,NA
"Tirvia",NA,8201,91328,28293
"Tiurana",NA,6937,94568,26361
"Tivenys",NA,13501,210692,61230
"Tivissa",NA,11651,185641,52147
"Tona",NA,NA,NA,NA
"Tora",NA,NA,NA,NA
"Tordera",NA,9044,114606,37510
"Torello",NA,6548.125,62894,21619
"Torms",NA,NA,NA,NA
"Tornabous",NA,8020,112718,31507
"Torre de Cabdella",NA,9688,123759,34598
"Torre de Claramunt",NA,7382,104290,27662
"Torre de Fontaubella",NA,11538,175838,47584
"Torre de l'Espanyol",NA,12041,177865,51626
"Torrebesses",NA,10070,152212,42986
"Torredembarra",NA,9217,146302,40788
"Torrefarrera",NA,9261,143274,39412
"Torrefeta i Florejacs",NA,7659,97840,27465
"Torregrossa",NA,NA,NA,NA
"Torrelameu",NA,9346,135454,37430
"Torrelavit",NA,7463,110991,31453
"Torrelles de Foix",NA,8558,122909,33694
"Torrelles de Llobregat",NA,7960,120036,31386
"Torrent",NA,NA,NA,NA
"Torres de Segre",NA,10000,152635,42315
"Torre-serona",NA,9114,141722,38993
"Torroella de Fluvia",NA,9882.5,103452,31887
"Torroella de Montgri",NA,10365,112408,35238
"Torroja del Priorat",NA,11915,169350,49116
"Tortella",NA,8320,72820,23401
"Tortosa",NA,12700,210673,58956
"Toses",NA,3839,31527.5,13541
"Tossa de Mar",NA,9555,122306,40742
"Tremp",NA,9141,116095,32138
"Ulla",NA,NA,NA,NA
"Ullastrell",NA,6827,106516,27745
"Ullastret",NA,10201,111919,34257
"Ulldecona",NA,13302,223792,60559
"Ulldemolins",NA,11326,153677,43421
"Ultramort",NA,9950,108727,33771
"Urus",NA,NA,NA,NA
"Vacarisses",NA,6008,94457,24400
"Vajol",NA,10935.5,107861,33901
"Vall d'en Bas",NA,7301,66396,22268
"Vall de Bianya",NA,7309,63339,19215
"Vall de Boi",NA,12082,157255,42756
"Vall de Cardos",NA,8280,97104,30306.25
"Vallbona d'Anoia",NA,6819,102319,28096
"Vallbona de les Monges",NA,8807,122600,34743
"Vallcebre",NA,3914,45582,7315
"Vallclara",NA,10094,141405,39662
"Vallfogona de Balaguer",NA,8917.25,127510,36247
"Vallfogona de Ripolles",NA,7243,48370,15542
"Vallfogona de Riucorb",NA,8797,116887,33515
"Vallgorguina",NA,8382,107853,35062
"Vallirana",NA,7636,120042.75,31307
"Vall-llobrega",NA,9846,121499,41956
"Vallmoll",NA,9744,142191,38698
"Vallromanes",NA,7807,109899,32550
"Valls",NA,9544,139233,37901
"Valls d'Aguilar",NA,6535,81553,19630
"Valls de Valira",NA,4032,60599,14376
"Vandellos i l'Hospitalet de l'Infant",NA,10824,174171,48449
"Vansa i Fornols",NA,6321,73644,16700
"Veciana",NA,7180,97725,28177
"Vendrell",NA,8875,135457,38233
"Ventallo",NA,9680,103550,32058
"Verdu",NA,NA,NA,NA
"Verges",NA,NA,NA,NA
"Vespella de Gaia",NA,9566,144647,40049
"Vic",NA,NA,NA,NA
"Vidra",NA,NA,NA,NA
"Vidreres",NA,8231,106813,34702
"Vielha e Mijaran",NA,12156,172535,45490
"Vilabella",NA,NA,NA,NA
"Vilabertran",NA,9999.875,98829,30398
"Vilablareix",NA,8364,99516,33041
"Vilada",NA,4150,31913,10606
"Viladamat",NA,9860,106924,33025
"Viladasens",NA,9293,99140,31570
"Viladecans",NA,8033,123820,32335
"Viladecavalls",NA,6279,100627,26255.5
"Vilademuls",NA,9249,94284,30068
"Viladrau",NA,7237,81273,25606
"Vilafant",NA,9329,94813,29246
"Vilafranca del Penedes",NA,8044,119213,33064
"Vilagrassa",NA,7738,111711,31206
"Vilajuiga",NA,10451.875,106361,32264
"Vilalba dels Arcs",NA,13458.625,191507,55808
"Vilalba Sasserra",NA,8953,108174,33605
"Vilaller",NA,11244,150012,40935
"Vilallonga de Ter",NA,7547,58149,17296
"Vilallonga del Camp",NA,10037,148066,40402
"Vilamacolum",NA,9991.125,103409,31507
"Vilamalla",NA,9740.875,97475,30011
"Vilamaniscle",NA,10761.875,108811,32814
"Vilamos",NA,13281,179593,47792
"Vilanant",NA,9412,93009,28849
"Vilanova d'Escornalbou",NA,10834,166571,45689
"Vilanova de Bellpuig",NA,8274,121496,33902
"Vilanova de l'Aguda",NA,7511.5,94699,27116
"Vilanova de la Barca",NA,9178,134049,37098
"Vilanova de Meia",NA,8511,117922,33473
"Vilanova de Prades",NA,10410,145026,40409
"Vilanova de Sau",NA,7005,78219,24957
"Vilanova de Segria",NA,9502,141630,39308
"Vilanova del Cami",NA,6827,99777,26465
"Vilanova del Valles",NA,7759,107451,32393
"Vilanova i la Geltru",NA,8637,133246,39800
"Vilaplana",NA,10630,156300,42742
"Vila-rodona",NA,9148,133543,36496
"Vila-sacra",NA,10010.875,100270,30942
"Vila-sana",NA,8361,121594,33834
"Vila-seca",NA,9851,159382,43723
"Vilassar de Dalt",NA,7903,115072,35738
"Vilassar de Mar",NA,8182,117060,35947
"Vilaur",NA,9384,97692,31089
"Vilaverd",NA,9635,136609,37995
"Vilella Alta",NA,12563,171630,50750
"Vilella Baixa",NA,12349,173310,51560
"Vilobi d'Onyar",NA,8006,99264,33126
"Vilobi del Penedes",NA,7924,120431,32856
"Vilopriu",NA,9647,102332,32363
"Vilosell",NA,10053,141007,38976
"Vimbodi i Poblet",NA,9660,137307,37877
"Vinaixa",NA,9870,135033,38111.625
"Vinebre",NA,11851,178903,51033
"Vinyols i els Arcs",NA,10274,160159,44146
"Viver i Serrateix",NA,5090,57875,15222
"Xerta",NA,NA,NA,NA
