"","transit","driving","walking","bicycling"
"Calldetenes",NA,6253,70238,22700
"Callus",NA,NA,NA,NA
"Calonge de Segarra",NA,6525,88752,24920
"Calonge i Sant Antoni",NA,9614,119561,41239
"Camarasa",NA,NA,NA,NA
"Camarles",NA,12054,202769,55481
"Cambrils",NA,10407,163681,45679
"Camos",NA,NA,NA,NA
"Campdevanol",NA,5307,34981,11703
"Campelles",NA,5756,43160,13899
"Campins",NA,8820,102292,NA
"Campllong",NA,8296,105466,35211
"Camprodon",NA,7239,54713,16665
"Canejan",NA,18235,311742,101772
"Canet d'Adri",NA,9040,91889,32118
"Canet de Mar",NA,8447,118161,39743
"Canonja",NA,10035,157091,43246
"Canovelles",NA,7376,101403,30557
"Canoves i Samalus",NA,8368,101363,31329
"Cantallops",NA,10658.5,110693,33209
"Canyelles",NA,8099,126011,35175
"Capafonts",NA,11752.625,152973,44342
"Capcanes",NA,11552,180196,49512
"Capellades",NA,6746,103083,27341
"Capmany",NA,10541.375,105831,32288
"Capolat",NA,4916,48716,11148
"Cardedeu",NA,8017,104038,31497
"Cardona",NA,NA,NA,NA
"Carme",NA,7029,104602,27642
"Caseres",NA,13834.875,205191,59047
"Cassa de la Selva",NA,8635,107843,35339
"Casserres",NA,4175,49226,12537
"Castell de l'Areny",NA,4735,30107,11744
"Castell de Mur",NA,10705,126032,34793
"Castellar de la Ribera",NA,6843,78506,21572
"Castellar de n'Hug",NA,4344,25347,8249
"Castellar del Riu",NA,4524,45827,10950
"Castellar del Valles",NA,7453,99430,26638
"Castellbell i el Vilar",NA,5869,88335,23144
"Castellbisbal",NA,6968,108025,27785.875
"Castellcir",NA,7147,81866,23167
"Castelldans",NA,9576,138198,38214
"Castelldefels",NA,8280,127521,33307
"Castellet i la Gornal",NA,8501,130129,36443
"Castellfollit de la Roca",NA,7849,66025,21167
"Castellfollit de Riubregos",NA,6737,86888,24644
"Castellfollit del Boix",NA,6183,90014,23869
"Castellgali",NA,5727.25,82391,21828
"Castellnou de Bages",NA,5809,68013,17922
"Castellnou de Seana",NA,8092,119403,33259
"Castello d'Empuries",NA,10410.875,103996,31804
"Castello de Farfanya",NA,9165.75,132035,37709
"Castelloli",NA,6439,95314,25395
"Castell-Platja d'Aro",NA,9427,123723,39791
"Castellsera",NA,8531,116878,32924
"Castelltercol",NA,6823,82011,22613
"Castellvell del Camp",NA,10944,153851,42105
"Castellvi de la Marca",NA,8432,126684,34961
"Castellvi de Rosanes",NA,7804,110864,28514
"Catllar",NA,6800,71453,24970
"Cava",NA,NA,NA,NA
"Cellera de Ter",NA,8151,86752,29272
"Celra",NA,8944,97861,30519
"Centelles",NA,6531,78698,25108
"Cercs",NA,3383,38693,7968
"Cerdanyola del Valles",NA,7171,109431,30875
"Cervello",NA,NA,NA,NA
"Cervera",NA,7075,102117,28516
"Cervia de les Garrigues",NA,10042,141265,39407
"Cervia de Ter",NA,9172,97787,30674
