Codi,Literal,Homes,Dones,Total
170366,Campdevànol,1567,1658,3225,
170372,Campelles,76,73,149,
080399,Campins,277,263,540,
170388,Campllong,264,269,533,
170391,Camprodon,1193,1242,2435,
250637,Canejan,45,44,89,
170405,Canet d'Adri,387,362,749,
080403,Canet de Mar,7227,7583,14810,
439076,"Canonja, la",2892,3041,5933,
080410,Canovelles,8753,8119,16872,
080425,Cànoves i Samalús,1642,1577,3219,
170412,Cantallops,154,151,305,
080431,Canyelles,2533,2353,4886,
430398,Capafonts,68,57,125,
430402,Capçanes,200,194,394,
080446,Capellades,2647,2667,5314,
170427,Capmany,313,305,618,
080459,Capolat,40,44,84,
080462,Cardedeu,9066,9543,18609,
080478,Cardona,2256,2337,4593,
080484,Carme,397,371,768,
430419,Caseres,116,110,226,
170448,Cassà de la Selva,5346,5159,10505,
080497,Casserres,812,824,1636,
080575,Castell de l'Areny,40,32,72,
259046,Castell de Mur,97,72,169,
250642,Castellar de la Ribera,68,68,136,
080522,Castellar de n'Hug,87,80,167,
080500,Castellar del Riu,98,73,171,
080517,Castellar del Vallès,12192,12467,24659,
080538,Castellbell i el Vilar,1985,1868,3853,
080543,Castellbisbal,6348,6262,12610,
080556,Castellcir,392,361,753,
250674,Castelldans,481,419,900,
080569,Castelldefels,32930,34296,67226,
080581,Castellet i la Gornal,1278,1174,2452,
170464,Castellfollit de la Roca,486,453,939,
080608,Castellfollit de Riubregós,88,75,163,
080594,Castellfollit del Boix,233,215,448,
080615,Castellgalí,1143,1036,2179,
080620,Castellnou de Bages,752,668,1420,
250680,Castellnou de Seana,359,333,692,
170470,Castelló d'Empúries,5629,5525,11154,
250693,Castelló de Farfanya,287,242,529,
080636,Castellolí,317,336,653,
170486,Castell-Platja d'Aro,5654,5801,11455,
250707,Castellserà,498,478,976,
080641,Castellterçol,1333,1299,2632,
430424,Castellvell del Camp,1441,1432,2873,
080654,Castellví de la Marca,820,777,1597,
080667,Castellví de Rosanes,986,1010,1996,
430430,"Catllar, el",2467,2273,4740,
250714,Cava,32,14,46,
171899,"Cellera de Ter, la",964,1009,1973,
170499,Celrà,2808,2798,5606,
080673,Centelles,3736,3859,7595,
082687,Cercs,596,594,1190,
082665,Cerdanyola del Vallès,27911,29306,57217,
080689,Cervelló,4633,4600,9233,
250729,Cervera,4763,4565,9328,
250735,Cervià de les Garrigues,354,311,665,
170502,Cervià de Ter,498,475,973,
170519,Cistella,137,145,282,
250740,Ciutadilla,104,98,202,
250753,Clariana de Cardener,83,75,158,
250766,"Cogul, el",81,62,143,
170545,Colera,229,233,462,
250772,Coll de Nargó,280,268,548,
080692,Collbató,2414,2241,4655,
430458,Colldejou,93,74,167,
080706,Collsuspina,193,194,387,
170558,Colomers,92,96,188,
251636,"Coma i la Pedra, la",162,115,277,
251615,Conca de Dalt,215,206,421,
430461,Conesa,52,54,106,
430477,Constantí,3470,3254,6724,
080713,Copons,158,164,322,
430483,Corbera d'Ebre,510,471,981,
080728,Corbera de Llobregat,7532,7485,15017,
250788,Corbins,839,660,1499,
170577,Corçà,655,620,1275,
080734,Cornellà de Llobregat,43334,45966,89300,
170561,Cornellà del Terri,1227,1195,2422,
430496,Cornudella de Montsant,509,456,965,
430509,Creixell,1970,1942,3912,
170583,Crespià,138,132,270,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",664,663,1327,
080749,Cubelles,8073,7978,16051,
250791,Cubells,182,175,357,
430516,Cunit,6956,7125,14081,
170600,Darnius,274,266,540,
170617,Das,129,119,248,
439018,Deltebre,5801,5738,11539,
080752,Dosrius,2867,2818,5685,
430537,Duesaigües,131,103,234,
170622,"Escala, l'",5324,5173,10497,
080765,Esparreguera,11298,11060,22358,
170638,Espinelves,120,119,239,
250812,"Espluga Calba, l'",165,163,328,
430542,"Espluga de Francolí, l'",1821,1896,3717,
080771,Esplugues de Llobregat,22274,24503,46777,
170643,Espolla,204,208,412,
170656,Esponellà,240,229,469,
250827,Espot,196,170,366,
080787,"Espunyola, l'",129,129,258,
082541,"Esquirol, l'",1109,1089,2198,
250886,Estamariu,73,56,129,
080790,"Estany, l'",215,193,408,
250851,Estaràs,87,85,172,
250864,Esterri d'Àneu,406,426,832,
250870,Esterri de Cardós,32,32,64,
430555,Falset,1368,1356,2724,
170059,"Far d'Empordà, el",318,301,619,
250899,Farrera,67,49,116,
430568,"Fatarella, la",447,470,917,
430574,"Febró, la",25,16,41,
081347,Figaró-Montmany,550,577,1127,
080804,Fígols,27,19,46,
259084,Fígols i Alinyà,146,114,260,
430580,"Figuera, la",66,51,117,
170669,Figueres,23220,23823,47043,
430593,Figuerola del Camp,167,169,336,
170675,Flaçà,556,591,1147,
430607,Flix,1740,1711,3451,
250925,"Floresta, la",79,66,145,
080826,Fogars de la Selva,793,747,1540,
080811,Fogars de Montclús,251,216,467,
170681,Foixà,149,150,299,
080832,Folgueroles,1140,1129,2269,
250931,Fondarella,390,391,781,
080847,Fonollosa,766,729,1495,
170694,Fontanals de Cerdanya,258,248,506,
170708,Fontanilles,88,69,157,
170715,Fontcoberta,727,741,1468,
080850,Font-rubí,752,688,1440,
250946,Foradada,123,72,195,
179026,Forallac,842,866,1708,
430614,Forès,27,21,48,
170736,Fornells de la Selva,1339,1361,2700,
170741,Fortià,396,397,793,
080863,"Franqueses del Vallès, les",10307,10044,20351,
430629,Freginals,210,181,391,
250962,"Fuliola, la",635,612,1247,
250978,Fulleda,50,51,101,
080902,Gaià,102,87,189,
430635,"Galera, la",375,348,723,
080879,Gallifa,97,86,183,
430640,Gandesa,1587,1511,3098,
430653,Garcia,261,274,535,
430666,"Garidells, els",98,100,198,
080885,"Garriga, la",8073,8660,16733,
170754,Garrigàs,243,221,464,
170767,Garrigoles,92,78,170,
170773,Garriguella,458,451,909,
080898,Gavà,22963,23968,46931,
250984,Gavet de la Conca,133,129,262,
080919,Gelida,3863,3860,7723,
170789,Ger,263,239,502,
259123,Gimenells i el Pla de la Font,597,521,1118,
430672,Ginestar,420,367,787,
170792,Girona,49050,52882,101932,
080924,Gironella,2434,2482,4916,
080930,Gisclareny,18,9,27,
430688,Godall,304,310,614,
250997,Golmés,931,924,1855,
170806,Gombrèn,96,100,196,
251001,Gósol,133,99,232,
080945,"Granada, la",1106,1101,2207,
251018,"Granadella, la",385,320,705,
080958,Granera,55,30,85,
251023,"Granja d'Escarp, la",523,408,931,
080961,Granollers,30903,31572,62475,
251039,Granyanella,82,63,145,
251057,Granyena de les Garrigues,93,61,154,
251044,Granyena de Segarra,86,73,159,
430691,Gratallops,131,106,237,
080977,Gualba,805,780,1585,
170813,Gualta,242,179,421,
080996,Guardiola de Berguedà,479,450,929,
430705,"Guiamets, els",134,142,276,
170828,Guils de Cerdanya,314,274,588,
251095,Guimerà,141,122,263,
259031,"Guingueta d'Àneu, la",163,137,300,
251109,Guissona,3917,3374,7291,
251116,Guixers,76,50,126,
081000,Gurb,1386,1319,2705,
430712,Horta de Sant Joan,589,549,1138,
081017,"Hospitalet de Llobregat, l'",127991,136666,264657,
081629,"Hostalets de Pierola, els",1547,1517,3064,
170834,Hostalric,2170,2162,4332,
081022,Igualada,20124,20751,40875,
251155,Isona i Conca Dellà,578,482,1060,
170849,Isòvol,173,141,314,
251137,Ivars d'Urgell,818,735,1553,
251121,Ivars de Noguera,175,160,335,
251142,Ivorra,61,49,110,
170852,Jafre,204,178,382,
170865,"Jonquera, la",1676,1664,3340,
081038,Jorba,422,403,825,
259101,Josa i Tuixén,58,42,100,
170871,Juià,169,158,327,
251180,Juncosa,206,191,397,
251193,Juneda,1916,1653,3569,
251214,Les,475,491,966,
251229,Linyola,1380,1344,2724,
