Codi,Literal,Homes,Dones,Total
082325,Sant Pere de Riudebitlles,1218,1193,2411,
082331,Sant Pere de Torelló,1286,1202,2488,
082346,Sant Pere de Vilamajor,2350,2321,4671,
171788,Sant Pere Pescador,1120,963,2083,
081897,Sant Pere Sallavinera,84,75,159,
082359,Sant Pol de Mar,2750,2788,5538,
082362,Sant Quintí de Mediona,1214,1153,2367,
082378,Sant Quirze de Besora,1035,1110,2145,
082384,Sant Quirze del Vallès,9875,10281,20156,
082397,Sant Quirze Safaja,361,299,660,
251945,Sant Ramon,261,236,497,
082401,Sant Sadurní d'Anoia,6315,6525,12840,
082418,Sant Sadurní d'Osormort,47,29,76,
080983,Sant Salvador de Guardiola,1646,1597,3243,
082628,Sant Vicenç de Castellet,4959,4909,9868,
082649,Sant Vicenç de Montalt,3280,3243,6523,
082652,Sant Vicenç de Torelló,1031,1046,2077,
082634,Sant Vicenç dels Horts,13930,14185,28115,
431384,Santa Bàrbara,1928,1834,3762,
082439,Santa Cecília de Voltregà,99,80,179,
082444,Santa Coloma de Cervelló,4041,4232,8273,
171805,Santa Coloma de Farners,6800,6659,13459,
082457,Santa Coloma de Gramenet,58879,60410,119289,
431397,Santa Coloma de Queralt,1344,1358,2702,
171812,Santa Cristina d'Aro,2725,2683,5408,
082460,Santa Eugènia de Berga,1149,1110,2259,
082476,Santa Eulàlia de Riuprimer,705,704,1409,
082482,Santa Eulàlia de Ronçana,3782,3756,7538,
082495,Santa Fe del Penedès,183,195,378,
171827,Santa Llogaia d'Àlguema,193,185,378,
082508,Santa Margarida de Montbui,5145,5047,10192,
082515,Santa Margarida i els Monjos,3908,3756,7664,
082589,Santa Maria d'Oló,525,540,1065,
082536,Santa Maria de Besora,85,76,161,
082567,Santa Maria de Martorelles,442,440,882,
082554,Santa Maria de Merlès,91,89,180,
082573,Santa Maria de Miralles,69,60,129,
082592,Santa Maria de Palautordera,4852,4814,9666,
431401,Santa Oliva,1756,1694,3450,
171848,Santa Pau,814,771,1585,
082606,Santa Perpètua de Mogoda,13099,12934,26033,
082613,Santa Susanna,1838,1812,3650,
081923,Santpedor,3765,3801,7566,
431423,Sarral,803,746,1549,
171864,Sarrià de Ter,2585,2646,5231,
252017,Sarroca de Bellera,69,51,120,
252000,Sarroca de Lleida,196,161,357,
171870,"Saus, Camallera i Llampaies",440,425,865,
431439,Savallà del Comtat,27,26,53,
431444,"Secuita, la",869,859,1728,
171886,"Selva de Mar, la",109,103,212,
431457,"Selva del Camp, la",2854,2840,5694,
431460,Senan,28,14,42,
430445,"Sénia, la",2774,2756,5530,
252022,Senterada,88,62,150,
250352,"Sentiu de Sió, la",222,204,426,
082671,Sentmenat,4731,4616,9347,
171903,Serinyà,576,567,1143,
252043,Seròs,1038,885,1923,
171910,Serra de Daró,128,107,235,
171925,Setcases,102,83,185,
252038,"Seu d'Urgell, la",5949,6303,12252,
082690,Seva,1903,1793,3696,
252056,Sidamon,403,352,755,
171931,Sils,3257,3092,6349,
082704,Sitges,15109,15108,30217,
170524,Siurana,85,94,179,
082711,Sobremunt,33,45,78,
252069,"Soleràs, el",181,156,337,
431476,Solivella,332,308,640,
252075,Solsona,4533,4642,9175,
082726,Sora,116,95,211,
252081,Soriguera,229,202,431,
252094,Sort,1073,1108,2181,
252108,Soses,935,846,1781,
082732,Subirats,1638,1511,3149,
252115,Sudanell,465,379,844,
252120,Sunyer,187,147,334,
082747,Súria,2871,3052,5923,
171946,Susqueda,59,40,99,
082763,Tagamanent,162,163,325,
082779,Talamanca,124,98,222,
252154,Talarn,288,201,489,
252167,Talavera,158,129,287,
171959,"Tallada d'Empordà, la",247,219,466,
082785,Taradell,3342,3345,6687,
431482,Tarragona,66116,69320,135436,
252173,Tàrrega,8752,8897,17649,
252189,Tarrés,51,54,105,
252192,Tarroja de Segarra,103,84,187,
082750,Tavèrnoles,165,164,329,
082802,Tavertet,55,58,113,
082819,Teià,3227,3305,6532,
252206,Térmens,682,648,1330,
171962,Terrades,164,170,334,
082798,Terrassa,109645,113366,223011,
082824,Tiana,4346,4663,9009,
252213,Tírvia,63,68,131,
252228,Tiurana,33,40,73,
431495,Tivenys,457,443,900,
431508,Tivissa,830,809,1639,
082830,Tona,4148,4220,8368,
252234,Torà,607,602,1209,
082845,Tordera,9012,8776,17788,
082858,Torelló,7265,7288,14553,
252249,"Torms, els",78,67,145,
252252,Tornabous,444,382,826,
252271,"Torre de Cabdella, la",388,377,765,
082861,"Torre de Claramunt, la",1993,1859,3852,
431515,"Torre de Fontaubella, la",66,62,128,
431520,"Torre de l'Espanyol, la",309,289,598,
252265,Torrebesses,169,129,298,
431536,Torredembarra,8366,8691,17057,
252287,Torrefarrera,2379,2323,4702,
259078,Torrefeta i Florejacs,330,272,602,
252304,Torregrossa,1125,1032,2157,
252311,Torrelameu,471,288,759,
082877,Torrelavit,723,706,1429,
082883,Torrelles de Foix,1315,1164,2479,
082896,Torrelles de Llobregat,3030,3096,6126,
171978,Torrent,88,72,160,
252326,Torres de Segre,1257,1124,2381,
252332,Torre-serona,200,183,383,
171984,Torroella de Fluvià,372,354,726,
171997,Torroella de Montgrí,6107,5916,12023,
431541,Torroja del Priorat,79,62,141,
172001,Tortellà,394,422,816,
431554,Tortosa,16730,16842,33572,
172018,Toses,104,74,178,
172023,Tossa de Mar,3010,2920,5930,
252347,Tremp,2892,3001,5893,
172044,Ullà,643,524,1167,
082900,Ullastrell,1053,1043,2096,
172057,Ullastret,128,130,258,
431567,Ulldecona,3335,2982,6317,
431573,Ulldemolins,227,173,400,
172039,Ultramort,118,108,226,
172060,Urús,105,105,210,
082917,Vacarisses,3653,3429,7082,
170144,"Vajol, la",48,40,88,
172076,"Vall d'en Bas, la",1581,1534,3115,
172082,"Vall de Bianya, la",664,651,1315,
250432,"Vall de Boí, la",562,498,1060,
259010,Vall de Cardós,204,178,382,
082922,Vallbona d'Anoia,702,673,1375,
252385,Vallbona de les Monges,122,114,236,
082938,Vallcebre,143,115,258,
431589,Vallclara,55,36,91,
252402,Vallfogona de Balaguer,959,953,1912,
171707,Vallfogona de Ripollès,112,101,213,
431592,Vallfogona de Riucorb,48,29,77,
082943,Vallgorguina,1553,1499,3052,
082956,Vallirana,7724,7714,15438,
172095,Vall-llobrega,464,454,918,
431606,Vallmoll,900,893,1793,
082969,Vallromanes,1353,1241,2594,
431613,Valls,12297,12256,24553,
259062,"Valls d'Aguilar, les",149,115,264,
252398,"Valls de Valira, les",412,388,800,
431628,Vandellòs i l'Hospitalet de l'Infant,3301,3344,6645,
259097,"Vansa i Fórnols, la",81,75,156,
082975,Veciana,97,82,179,
431634,"Vendrell, el",19299,19592,38891,
172109,Ventalló,464,450,914,
252424,Verdú,409,471,880,
172116,Verges,589,594,1183,
431649,Vespella de Gaià,249,209,458,
082981,Vic,23954,23365,47319,
172121,Vidrà,95,91,186,
172137,Vidreres,4186,3887,8073,
252430,Vielha e Mijaran,2888,2786,5674,
431652,Vilabella,359,346,705,
172142,Vilabertran,483,486,969,
172155,Vilablareix,1609,1616,3225,
082994,Vilada,230,194,424,
172174,Viladamat,237,234,471,
172168,Viladasens,115,99,214,
083015,Viladecans,32907,33800,66707,
083008,Viladecavalls,3795,3826,7621,
172180,Vilademuls,431,404,835,
172207,Viladrau,542,560,1102,
172214,Vilafant,2693,2787,5480,
083054,Vilafranca del Penedès,19433,20536,39969,
252445,Vilagrassa,310,277,587,
172235,Vilajuïga,556,568,1124,
431750,Vilalba dels Arcs,313,317,630,
083067,Vilalba Sasserra,386,372,758,
252458,Vilaller,293,261,554,
172240,Vilallonga de Ter,209,177,386,
431665,Vilallonga del Camp,1222,1163,2385,
172253,Vilamacolum,218,153,371,
172266,Vilamalla,584,570,1154,
172272,Vilamaniscle,116,89,205,
252477,Vilamòs,90,74,164,
172288,Vilanant,201,198,399,
431671,Vilanova d'Escornalbou,303,279,582,
252483,Vilanova de Bellpuig,601,577,1178,
252496,Vilanova de l'Aguda,95,99,194,
252542,Vilanova de la Barca,625,502,1127,
252509,Vilanova de Meià,263,164,427,
431687,Vilanova de Prades,54,54,108,
083036,Vilanova de Sau,150,164,314,
252516,Vilanova de Segrià,544,456,1000,
083020,Vilanova del Camí,6382,6354,12736,
089024,Vilanova del Vallès,2794,2741,5535,
083073,Vilanova i la Geltrú,32616,34842,67458,
431690,Vilaplana,287,249,536,
431704,Vila-rodona,688,611,1299,
172305,Vila-sacra,372,389,761,
252521,Vila-sana,378,383,761,
431711,Vila-seca,11309,11213,22522,
082140,Vilassar de Dalt,4475,4599,9074,
082191,Vilassar de Mar,10128,10808,20936,
172229,Vilaür,83,79,162,
431726,Vilaverd,243,202,445,
431732,"Vilella Alta, la",69,62,131,
431747,"Vilella Baixa, la",113,95,208,
172333,Vilobí d'Onyar,1719,1591,3310,
083041,Vilobí del Penedès,585,543,1128,
172327,Vilopriu,122,108,230,
252537,"Vilosell, el",100,92,192,
431763,Vimbodí i Poblet,474,406,880,
252555,Vinaixa,244,220,464,
431779,Vinebre,212,215,427,
431785,Vinyols i els Arcs,1154,1039,2193,
083089,Viver i Serrateix,88,87,175,
430521,Xerta,573,586,1159,
,Catalunya,3819831,3943531,7763362,

