"","municipi","hab"
"253","Cornudella de Montsant",965
"254","Creixell",3912
"255","Crespià",270
"256","Cruïlles, Monells i Sant Sadurní de l'Heura",1327
"257","Cubelles",16051
"258","Cubells",357
"259","Cunit",14081
"260","Darnius",540
"261","Das",248
"262","Deltebre",11539
"263","Dosrius",5685
"264","Duesaigües",234
"265","Escala",10497
"266","Esparreguera",22358
"267","Espinelves",239
"268","Espluga Calba",328
"269","Espluga de Francolí",3717
"270","Esplugues de Llobregat",46777
"271","Espolla",412
"272","Esponellà",469
"273","Espot",366
"274","Espunyola",258
"275","Esquirol",2198
"276","Estamariu",129
"277","Estany",408
"278","Estaràs",172
"279","Esterri d'Àneu",832
"280","Esterri de Cardós",64
"281","Falset",2724
"282","Far d'Empordà",619
"283","Farrera",116
"284","Fatarella",917
"285","Febró",41
"286","Figaró-Montmany",1127
"287","Fígols",46
"288","Fígols i Alinyà",260
"289","Figuera",117
"290","Figueres",47043
"291","Figuerola del Camp",336
"292","Flaçà",1147
"293","Flix",3451
"294","Floresta",145
"295","Fogars de la Selva",1540
"296","Fogars de Montclús",467
"297","Foixà",299
"298","Folgueroles",2269
"299","Fondarella",781
"300","Fonollosa",1495
"301","Fontanals de Cerdanya",506
"302","Fontanilles",157
"303","Fontcoberta",1468
"304","Font-rubí",1440
"305","Foradada",195
"306","Forallac",1708
"307","Forès",48
"308","Fornells de la Selva",2700
"309","Fortià",793
"310","Franqueses del Vallès",20351
"311","Freginals",391
"312","Fuliola",1247
"313","Fulleda",101
"314","Gaià",189
"315","Galera",723
"316","Gallifa",183
"317","Gandesa",3098
"318","Garcia",535
"319","Garidells",198
"320","Garriga",16733
"321","Garrigàs",464
"322","Garrigoles",170
"323","Garriguella",909
"324","Gavà",46931
"325","Gavet de la Conca",262
"326","Gelida",7723
"327","Ger",502
"328","Gimenells i el Pla de la Font",1118
"329","Ginestar",787
"330","Girona",101932
"331","Gironella",4916
"332","Gisclareny",27
"333","Godall",614
"334","Golmés",1855
"335","Gombrèn",196
"336","Gósol",232
"337","Granada",2207
"338","Granadella",705
"339","Granera",85
"340","Granja d'Escarp",931
"341","Granollers",62475
"342","Granyanella",145
"343","Granyena de les Garrigues",154
"344","Granyena de Segarra",159
"345","Gratallops",237
"346","Gualba",1585
"347","Gualta",421
"348","Guardiola de Berguedà",929
"349","Guiamets",276
"350","Guils de Cerdanya",588
"351","Guimerà",263
"352","Guingueta d'Àneu",300
"353","Guissona",7291
"354","Guixers",126
"355","Gurb",2705
"356","Horta de Sant Joan",1138
"357","Hospitalet de Llobregat",264657
"358","Hostalets de Pierola",3064
"359","Hostalric",4332
"360","Igualada",40875
"361","Isona i Conca Dellà",1060
"362","Isòvol",314
"363","Ivars d'Urgell",1553
"364","Ivars de Noguera",335
"365","Ivorra",110
"366","Jafre",382
"367","Jonquera",3340
"368","Jorba",825
"369","Josa i Tuixén",100
"370","Juià",327
"371","Juncosa",397
"372","Juneda",3569
"373","Les",966
"374","Linyola",2724
"375","Llacuna",917
"376","Lladó",845
"377","Lladorre",244
"378","Lladurs",187
"379","Llagosta",13259
"380","Llagostera",8851
"381","Llambilles",730
"382","Llanars",535
"383","Llançà",4842
"384","Llardecans",429
"385","Llavorsí",345
"386","Lleida",140080
"387","Llers",1252
"388","Lles de Cerdanya",288
"389","Lliçà d'Amunt",15673
"390","Lliçà de Vall",6580
"391","Llimiana",155
"392","Llinars del Vallès",10116
"393","Llívia",1504
"394","Lloar",111
"395","Llobera",187
"396","Llorac",92
"397","Llorenç del Penedès",2381
"398","Lloret de Mar",38402
"399","Llosses",209
"400","Lluçà",271
"401","Maçanet de Cabrenys",729
"402","Maçanet de la Selva",7349
"403","Madremanya",296
"404","Maià de Montcal",469
"405","Maials",926
"406","Maldà",237
"407","Malgrat de Mar",18950
"408","Malla",276
"409","Manlleu",20804
"410","Manresa",78192
"411","Marçà",612
"412","Margalef",104
"413","Marganell",271
"414","Martorell",28667
"415","Martorelles",4823
"416","Mas de Barberans",572
"417","Masarac",284
"418","Masdenverge",1109
"419","Masies de Roda",704
"420","Masies de Voltregà",3178
"421","Masllorenç",508
"422","Masnou",23848
"423","Masó",283
"424","Maspujols",826
"425","Masquefa",9623
"426","Masroig",499
"427","Massalcoreig",599
"428","Massanes",803
"429","Massoteres",223
"430","Matadepera",9672
"431","Mataró",129120
"432","Mediona",2419
"433","Menàrguens",789
"434","Meranges",97
"435","Mieres",349
"436","Milà",191
"437","Miralcamp",1366
"438","Miravet",685
"439","Moià",6474
"440","Molar",298
"441","Molins de Rei",26104
"442","Mollerussa",14545
"443","Mollet de Peralada",197
"444","Mollet del Vallès",51151
"445","Molló",347
"446","Molsosa",102
"447","Monistrol de Calders",716
"448","Monistrol de Montserrat",3178
"449","Montagut i Oix",951
"450","Montblanc",7433
"451","Montbrió del Camp",2985
"452","Montcada i Reixac",36794
"453","Montclar",136
"454","Montellà i Martinet",596
"455","Montesquiu",1048
"456","Montferrer i Castellbò",1081
"457","Montferri",397
"458","Montgai",655
"459","Montgat",12260
"460","Montmajor",472
"461","Montmaneu",158
"462","Montmell",1730
"463","Montmeló",8798
"464","Montoliu de Lleida",493
"465","Montoliu de Segarra",191
"466","Montornès de Segarra",91
"467","Montornès del Vallès",16804
"468","Mont-ral",169
"469","Mont-ras",1672
"470","Mont-roig del Camp",12689
"471","Montseny",362
"472","Móra d'Ebre",5585
"473","Móra la Nova",3120
"474","Morell",3732
"475","Morera de Montsant",163
"476","Muntanyola",655
"477","Mura",231
"478","Nalec",88
"479","Naut Aran",1941
"480","Navarcles",6068
"481","Navàs",5973
"482","Navata",1434
"483","Navès",293
"484","Nou de Berguedà",176
"485","Nou de Gaià",616
"486","Nulles",516
"487","Odèn",253
"488","Òdena",3681
"489","Ogassa",240
"490","Olèrdola",3847
"491","Olesa de Bonesvalls",1923
"492","Olesa de Montserrat",24132
"493","Oliana",1857
"494","Oliola",201
"495","Olius",962
"496","Olivella",4127
"497","Olost",1190
"498","Olot",36299
"499","Oluges",169
"500","Olvan",874
"501","Omellons",202
"502","Omells de na Gaia",127
"503","Ordis",369
"504","Organyà",766
"505","Orís",339
"506","Oristà",547
"507","Orpí",154
"508","Òrrius",779
"509","Os de Balaguer",1000
"510","Osor",426
"511","Ossó de Sió",196
"512","Pacs del Penedès",915
"513","Palafolls",9646
"514","Palafrugell",23046
"515","Palamós",18196
"516","Palau d'Anglesola",2205
"517","Palau de Santa Eulàlia",111
"518","Palau-sator",323
"519","Palau-saverdera",1490
"520","Palau-solità i Plegamans",14917
"521","Pallaresos",4872
